respondent_id,task_id,alternative_id,chosen,Roast,Size,Milk Option,Origin
1,1,1,0,Light,Small,No Milk,Colombia
1,1,2,1,Light,Large,No Milk,Brazil
1,1,3,0,Dark,Medium,No Milk,Ethiopia
1,2,1,0,Light,Small,Whole Milk,Ethiopia
1,2,2,0,Light,Small,Oat Milk,Colombia
1,2,3,1,Light,Medium,Oat Milk,Brazil
1,3,1,0,Light,Large,Oat Milk,Brazil
1,3,2,0,Medium,Small,Whole Milk,Ethiopia
1,3,3,1,Dark,Medium,Whole Milk,Colombia
1,4,1,1,Light,Large,No Milk,Ethiopia
1,4,2,0,Light,Small,Oat Milk,Ethiopia
1,4,3,0,Medium,Small,Oat Milk,Ethiopia
1,5,1,0,Medium,Large,Whole Milk,Brazil
1,5,2,0,Dark,Small,Whole Milk,Brazil
1,5,3,1,Medium,Medium,Oat Milk,Brazil
1,6,1,0,Light,Large,Oat Milk,Colombia
1,6,2,0,Light,Medium,Oat Milk,Ethiopia
1,6,3,1,Dark,Large,Oat Milk,Colombia
1,7,1,0,Medium,Large,Oat Milk,Colombia
1,7,2,1,Light,Large,Whole Milk,Brazil
1,7,3,0,Dark,Medium,Whole Milk,Ethiopia
1,8,1,0,Light,Large,Oat Milk,Colombia
1,8,2,0,Light,Small,Whole Milk,Colombia
1,8,3,1,Medium,Large,No Milk,Ethiopia
1,9,1,1,Medium,Large,Oat Milk,Brazil
1,9,2,0,Light,Large,Whole Milk,Colombia
1,9,3,0,Dark,Medium,Whole Milk,Ethiopia
1,10,1,0,Medium,Small,Oat Milk,Colombia
1,10,2,0,Dark,Medium,Whole Milk,Colombia
1,10,3,1,Light,Large,Oat Milk,Brazil
2,1,1,1,Medium,Medium,No Milk,Colombia
2,1,2,0,Dark,Small,No Milk,Brazil
2,1,3,0,Light,Large,No Milk,Colombia
2,2,1,0,Dark,Small,Oat Milk,Brazil
2,2,2,0,Medium,Small,Whole Milk,Brazil
2,2,3,1,Dark,Medium,Oat Milk,Brazil
2,3,1,1,Medium,Large,Oat Milk,Colombia
2,3,2,0,Light,Medium,No Milk,Brazil
2,3,3,0,Dark,Small,No Milk,Colombia
2,4,1,0,Light,Small,No Milk,Colombia
2,4,2,0,Light,Large,No Milk,Ethiopia
2,4,3,1,Light,Large,No Milk,Brazil
2,5,1,0,Dark,Large,Oat Milk,Colombia
2,5,2,0,Medium,Small,No Milk,Colombia
2,5,3,1,Medium,Medium,Oat Milk,Ethiopia
2,6,1,0,Light,Large,Whole Milk,Brazil
2,6,2,1,Medium,Large,Oat Milk,Colombia
2,6,3,0,Light,Large,Oat Milk,Colombia
2,7,1,0,Medium,Medium,No Milk,Colombia
2,7,2,1,Dark,Small,No Milk,Brazil
2,7,3,0,Light,Small,No Milk,Colombia
2,8,1,0,Medium,Small,Oat Milk,Colombia
2,8,2,0,Light,Medium,Oat Milk,Ethiopia
2,8,3,1,Dark,Large,Whole Milk,Brazil
2,9,1,1,Light,Small,Oat Milk,Colombia
2,9,2,0,Dark,Large,Whole Milk,Colombia
2,9,3,0,Light,Small,Whole Milk,Ethiopia
2,10,1,0,Dark,Small,No Milk,Brazil
2,10,2,1,Light,Small,Whole Milk,Colombia
2,10,3,0,Light,Medium,No Milk,Brazil
3,1,1,0,Medium,Small,Whole Milk,Brazil
3,1,2,1,Medium,Small,No Milk,Ethiopia
3,1,3,0,Dark,Small,No Milk,Brazil
3,2,1,1,Medium,Small,Oat Milk,Colombia
3,2,2,0,Medium,Medium,No Milk,Ethiopia
3,2,3,0,Dark,Medium,Whole Milk,Brazil
3,3,1,0,Dark,Large,Oat Milk,Brazil
3,3,2,0,Light,Medium,No Milk,Colombia
3,3,3,1,Light,Medium,Oat Milk,Brazil
3,4,1,1,Medium,Small,Whole Milk,Brazil
3,4,2,0,Dark,Medium,Oat Milk,Colombia
3,4,3,0,Medium,Medium,No Milk,Colombia
3,5,1,1,Light,Large,Oat Milk,Colombia
3,5,2,0,Dark,Large,Oat Milk,Brazil
3,5,3,0,Light,Large,No Milk,Brazil
3,6,1,0,Medium,Large,Whole Milk,Colombia
3,6,2,1,Light,Medium,Oat Milk,Colombia
3,6,3,0,Light,Large,No Milk,Brazil
3,7,1,0,Dark,Medium,Whole Milk,Brazil
3,7,2,0,Light,Small,No Milk,Ethiopia
3,7,3,1,Dark,Medium,Oat Milk,Brazil
3,8,1,0,Light,Medium,No Milk,Brazil
3,8,2,1,Light,Medium,No Milk,Colombia
3,8,3,0,Medium,Medium,Oat Milk,Colombia
3,9,1,1,Dark,Small,Oat Milk,Ethiopia
3,9,2,0,Light,Medium,Oat Milk,Brazil
3,9,3,0,Dark,Large,Oat Milk,Colombia
3,10,1,0,Medium,Small,Whole Milk,Ethiopia
3,10,2,1,Dark,Medium,Oat Milk,Brazil
3,10,3,0,Medium,Large,Whole Milk,Colombia
4,1,1,1,Medium,Medium,No Milk,Brazil
4,1,2,0,Dark,Medium,Whole Milk,Colombia
4,1,3,0,Medium,Large,Oat Milk,Brazil
4,2,1,0,Medium,Large,Oat Milk,Brazil
4,2,2,1,Medium,Large,Oat Milk,Brazil
4,2,3,0,Light,Large,Whole Milk,Ethiopia
4,3,1,1,Light,Medium,Oat Milk,Colombia
4,3,2,0,Dark,Large,Whole Milk,Ethiopia
4,3,3,0,Medium,Large,No Milk,Brazil
4,4,1,0,Dark,Small,Whole Milk,Colombia
4,4,2,0,Dark,Large,Whole Milk,Ethiopia
4,4,3,1,Light,Large,Oat Milk,Colombia
4,5,1,0,Light,Small,No Milk,Colombia
4,5,2,1,Dark,Small,Oat Milk,Ethiopia
4,5,3,0,Dark,Small,Whole Milk,Brazil
4,6,1,0,Medium,Small,No Milk,Brazil
4,6,2,1,Light,Medium,No Milk,Colombia
4,6,3,0,Dark,Large,Oat Milk,Colombia
4,7,1,1,Light,Medium,No Milk,Ethiopia
4,7,2,0,Dark,Large,Oat Milk,Ethiopia
4,7,3,0,Dark,Large,Oat Milk,Brazil
4,8,1,0,Light,Large,Oat Milk,Ethiopia
4,8,2,0,Light,Large,Oat Milk,Brazil
4,8,3,1,Light,Medium,Oat Milk,Colombia
4,9,1,1,Light,Medium,Oat Milk,Ethiopia
4,9,2,0,Light,Small,No Milk,Colombia
4,9,3,0,Light,Large,No Milk,Colombia
4,10,1,0,Medium,Large,Oat Milk,Ethiopia
4,10,2,0,Medium,Medium,Whole Milk,Brazil
4,10,3,1,Dark,Medium,Oat Milk,Colombia
5,1,1,1,Medium,Medium,Oat Milk,Colombia
5,1,2,0,Dark,Large,Oat Milk,Brazil
5,1,3,0,Medium,Small,Whole Milk,Brazil
5,2,1,0,Medium,Large,Whole Milk,Brazil
5,2,2,0,Dark,Medium,No Milk,Ethiopia
5,2,3,1,Medium,Medium,Oat Milk,Colombia
5,3,1,1,Medium,Medium,Oat Milk,Ethiopia
5,3,2,0,Light,Medium,No Milk,Brazil
5,3,3,0,Medium,Small,Whole Milk,Colombia
5,4,1,0,Dark,Small,No Milk,Colombia
5,4,2,0,Light,Large,No Milk,Colombia
5,4,3,1,Dark,Small,Whole Milk,Colombia
5,5,1,0,Medium,Medium,No Milk,Brazil
5,5,2,1,Dark,Large,No Milk,Colombia
5,5,3,0,Light,Large,No Milk,Ethiopia
5,6,1,0,Medium,Medium,Whole Milk,Colombia
5,6,2,1,Dark,Large,No Milk,Colombia
5,6,3,0,Medium,Large,Whole Milk,Colombia
5,7,1,0,Dark,Small,Oat Milk,Brazil
5,7,2,0,Medium,Small,Whole Milk,Brazil
5,7,3,1,Medium,Medium,No Milk,Ethiopia
5,8,1,0,Dark,Medium,Whole Milk,Colombia
5,8,2,0,Dark,Large,Whole Milk,Ethiopia
5,8,3,1,Dark,Medium,Oat Milk,Ethiopia
5,9,1,1,Dark,Medium,Oat Milk,Colombia
5,9,2,0,Light,Medium,Oat Milk,Colombia
5,9,3,0,Dark,Large,Whole Milk,Ethiopia
