respondent_id,task_id,alternative_id,chosen,Music Library,Audio Quality,Podcast Access,Social Features,Price Tier
1,1,1,0,50M songs,High-Fi,Full Library,Live Listening,$5.99/mo
1,1,2,1,50M songs,Lossless,Full Library,None,$5.99/mo
1,1,3,0,50M songs,High-Fi,None,Shared Playlists,$5.99/mo
1,2,1,0,80M songs,Lossless,None,Live Listening,$5.99/mo
1,2,2,1,100M+ songs,High-Fi,Full Library,Live Listening,Free w/ Ads
1,2,3,0,100M+ songs,High-Fi,Full Library,Live Listening,$11.99/mo
1,3,1,1,80M songs,Standard,None,Live Listening,Free w/ Ads
1,3,2,0,100M+ songs,Lossless,None,Live Listening,$11.99/mo
1,3,3,0,80M songs,Standard,None,Live Listening,$5.99/mo
1,4,1,0,100M+ songs,High-Fi,None,Shared Playlists,$5.99/mo
1,4,2,1,100M+ songs,High-Fi,None,Live Listening,$11.99/mo
1,4,3,0,100M+ songs,Lossless,Full Library,Shared Playlists,$11.99/mo
1,5,1,0,50M songs,Standard,Limited,None,$11.99/mo
1,5,2,0,50M songs,High-Fi,Full Library,None,$11.99/mo
1,5,3,1,100M+ songs,High-Fi,Full Library,Shared Playlists,$5.99/mo
1,6,1,0,100M+ songs,Standard,None,Live Listening,$11.99/mo
1,6,2,0,50M songs,High-Fi,None,None,$5.99/mo
1,6,3,1,100M+ songs,Lossless,Limited,Live Listening,$11.99/mo
1,7,1,0,80M songs,Standard,None,Shared Playlists,Free w/ Ads
1,7,2,1,80M songs,High-Fi,Limited,None,$5.99/mo
1,7,3,0,80M songs,Standard,Limited,None,$11.99/mo
1,8,1,0,100M+ songs,Lossless,Limited,None,$11.99/mo
1,8,2,1,50M songs,Standard,None,None,$5.99/mo
1,8,3,0,50M songs,Lossless,Limited,Live Listening,$11.99/mo
2,1,1,0,100M+ songs,High-Fi,Limited,Shared Playlists,$5.99/mo
2,1,2,0,80M songs,Lossless,None,Shared Playlists,$5.99/mo
2,1,3,1,80M songs,Lossless,Limited,Shared Playlists,$5.99/mo
2,2,1,0,100M+ songs,Standard,Full Library,None,$5.99/mo
2,2,2,0,80M songs,Standard,None,None,Free w/ Ads
2,2,3,1,100M+ songs,High-Fi,Full Library,None,$11.99/mo
2,3,1,0,80M songs,Standard,None,None,$11.99/mo
2,3,2,1,50M songs,Lossless,Limited,Live Listening,Free w/ Ads
2,3,3,0,100M+ songs,High-Fi,Limited,None,Free w/ Ads
2,4,1,0,100M+ songs,Lossless,Full Library,Live Listening,$5.99/mo
2,4,2,1,50M songs,Lossless,Full Library,Live Listening,$5.99/mo
2,4,3,0,100M+ songs,High-Fi,None,Shared Playlists,$5.99/mo
2,5,1,0,50M songs,Standard,None,None,$11.99/mo
2,5,2,0,80M songs,Standard,Limited,None,$5.99/mo
2,5,3,1,100M+ songs,Lossless,None,None,$11.99/mo
2,6,1,0,80M songs,Standard,Full Library,Shared Playlists,$5.99/mo
2,6,2,1,100M+ songs,High-Fi,Limited,Shared Playlists,Free w/ Ads
2,6,3,0,100M+ songs,High-Fi,Limited,None,$5.99/mo
2,7,1,0,100M+ songs,Lossless,Limited,Shared Playlists,$5.99/mo
2,7,2,1,80M songs,Standard,Full Library,Live Listening,Free w/ Ads
2,7,3,0,100M+ songs,Lossless,Full Library,Live Listening,Free w/ Ads
2,8,1,0,100M+ songs,High-Fi,None,None,$5.99/mo
2,8,2,0,50M songs,Lossless,Full Library,None,$11.99/mo
2,8,3,1,50M songs,Standard,Full Library,Shared Playlists,Free w/ Ads
3,1,1,0,50M songs,High-Fi,None,Live Listening,$5.99/mo
3,1,2,1,100M+ songs,Lossless,Full Library,Shared Playlists,$5.99/mo
3,1,3,0,100M+ songs,Standard,None,None,$5.99/mo
3,2,1,1,80M songs,Lossless,Limited,None,Free w/ Ads
3,2,2,0,100M+ songs,High-Fi,Limited,None,$5.99/mo
3,2,3,0,100M+ songs,Lossless,Full Library,Shared Playlists,$11.99/mo
3,3,1,0,80M songs,Lossless,None,Shared Playlists,Free w/ Ads
3,3,2,1,100M+ songs,High-Fi,Full Library,None,Free w/ Ads
3,3,3,0,80M songs,High-Fi,Full Library,Live Listening,Free w/ Ads
3,4,1,0,100M+ songs,Standard,Full Library,Shared Playlists,$5.99/mo
3,4,2,0,100M+ songs,Lossless,Full Library,Live Listening,$11.99/mo
3,4,3,1,80M songs,Lossless,Limited,Shared Playlists,$11.99/mo
3,5,1,0,100M+ songs,High-Fi,Limited,Shared Playlists,Free w/ Ads
3,5,2,0,50M songs,Lossless,None,Shared Playlists,$5.99/mo
3,5,3,1,50M songs,Standard,None,Shared Playlists,$5.99/mo
3,6,1,1,80M songs,Standard,None,Shared Playlists,$5.99/mo
3,6,2,0,80M songs,High-Fi,None,None,Free w/ Ads
3,6,3,0,50M songs,High-Fi,Limited,Shared Playlists,Free w/ Ads
3,7,1,0,100M+ songs,Lossless,Limited,Live Listening,Free w/ Ads
3,7,2,1,80M songs,High-Fi,Limited,Shared Playlists,$11.99/mo
3,7,3,0,100M+ songs,Lossless,Full Library,None,$5.99/mo
3,8,1,0,80M songs,Lossless,None,Live Listening,$5.99/mo
3,8,2,1,80M songs,Standard,Full Library,Live Listening,Free w/ Ads
3,8,3,0,50M songs,Standard,Limited,Live Listening,$5.99/mo
4,1,1,0,80M songs,Lossless,None,Live Listening,$5.99/mo
4,1,2,1,50M songs,Standard,Limited,Shared Playlists,$5.99/mo
4,1,3,0,80M songs,Standard,Limited,None,$11.99/mo
4,2,1,1,100M+ songs,High-Fi,Full Library,Shared Playlists,Free w/ Ads
4,2,2,0,50M songs,Standard,Full Library,Live Listening,$11.99/mo
4,2,3,0,80M songs,Standard,None,Shared Playlists,$11.99/mo
4,3,1,0,80M songs,Standard,Limited,None,$5.99/mo
4,3,2,0,100M+ songs,High-Fi,Full Library,Shared Playlists,$5.99/mo
4,3,3,1,100M+ songs,High-Fi,None,Shared Playlists,$11.99/mo
4,4,1,0,80M songs,Standard,Limited,Live Listening,$11.99/mo
4,4,2,1,100M+ songs,High-Fi,None,None,Free w/ Ads
4,4,3,0,80M songs,High-Fi,Limited,None,$5.99/mo
4,5,1,0,50M songs,Lossless,Full Library,Live Listening,$5.99/mo
4,5,2,1,80M songs,Lossless,None,Live Listening,Free w/ Ads
4,5,3,0,80M songs,Standard,None,Live Listening,Free w/ Ads
4,6,1,0,100M+ songs,Standard,None,Shared Playlists,$11.99/mo
4,6,2,1,100M+ songs,Lossless,None,Shared Playlists,$5.99/mo
4,6,3,0,50M songs,Standard,Full Library,Live Listening,Free w/ Ads
4,7,1,0,80M songs,High-Fi,Limited,None,$5.99/mo
4,7,2,0,100M+ songs,High-Fi,None,None,$11.99/mo
4,7,3,1,100M+ songs,High-Fi,None,Live Listening,$11.99/mo
4,8,1,0,80M songs,Lossless,Limited,None,$5.99/mo
4,8,2,1,100M+ songs,Lossless,Limited,Live Listening,$5.99/mo
4,8,3,0,80M songs,Standard,None,None,Free w/ Ads
5,1,1,0,80M songs,High-Fi,Limited,Live Listening,$11.99/mo
5,1,2,1,100M+ songs,High-Fi,None,Shared Playlists,Free w/ Ads
5,1,3,0,80M songs,Lossless,None,Shared Playlists,$11.99/mo
5,2,1,0,50M songs,Lossless,None,Shared Playlists,$11.99/mo
5,2,2,0,80M songs,Lossless,Limited,None,$11.99/mo
5,2,3,1,100M+ songs,Standard,Full Library,None,$11.99/mo
5,3,1,0,80M songs,Standard,Limited,Live Listening,$11.99/mo
5,3,2,0,100M+ songs,Standard,Limited,Shared Playlists,$11.99/mo
5,3,3,1,100M+ songs,High-Fi,None,Shared Playlists,$5.99/mo
5,4,1,0,100M+ songs,High-Fi,Full Library,None,$5.99/mo
5,4,2,0,80M songs,High-Fi,Limited,Live Listening,$5.99/mo
5,4,3,1,100M+ songs,Standard,Full Library,None,Free w/ Ads
5,5,1,0,100M+ songs,Standard,Limited,None,Free w/ Ads
5,5,2,1,80M songs,Lossless,None,Live Listening,$5.99/mo
5,5,3,0,50M songs,Standard,Limited,Live Listening,$5.99/mo
5,6,1,0,50M songs,Lossless,Full Library,None,Free w/ Ads
5,6,2,0,80M songs,High-Fi,None,None,$11.99/mo
5,6,3,1,100M+ songs,High-Fi,Full Library,None,Free w/ Ads
5,7,1,0,50M songs,Standard,Full Library,Live Listening,$5.99/mo
5,7,2,0,50M songs,Standard,None,Live Listening,Free w/ Ads
5,7,3,1,80M songs,Standard,None,None,$11.99/mo
5,8,1,0,50M songs,High-Fi,Full Library,Live Listening,$11.99/mo
5,8,2,1,100M+ songs,Lossless,None,None,$5.99/mo
5,8,3,0,100M+ songs,Lossless,Full Library,Shared Playlists,$5.99/mo
6,1,1,0,50M songs,Standard,Limited,Shared Playlists,$5.99/mo
6,1,2,1,80M songs,Standard,Full Library,Shared Playlists,$5.99/mo
6,1,3,0,50M songs,Standard,Limited,None,$5.99/mo
6,2,1,0,50M songs,High-Fi,Limited,None,Free w/ Ads
6,2,2,1,80M songs,Lossless,Limited,Live Listening,$11.99/mo
6,2,3,0,80M songs,High-Fi,Full Library,Shared Playlists,$11.99/mo
6,3,1,0,100M+ songs,High-Fi,Full Library,Shared Playlists,Free w/ Ads
6,3,2,0,100M+ songs,Lossless,Limited,None,Free w/ Ads
6,3,3,1,100M+ songs,High-Fi,Limited,Live Listening,$11.99/mo
6,4,1,0,100M+ songs,Standard,Full Library,Shared Playlists,Free w/ Ads
6,4,2,1,80M songs,High-Fi,Full Library,None,$5.99/mo
6,4,3,0,80M songs,High-Fi,Limited,Live Listening,Free w/ Ads
6,5,1,0,50M songs,High-Fi,Limited,Live Listening,$5.99/mo
6,5,2,0,80M songs,High-Fi,None,None,$11.99/mo
6,5,3,1,50M songs,Lossless,None,Live Listening,$5.99/mo
6,6,1,0,50M songs,Lossless,None,Live Listening,$11.99/mo
6,6,2,1,100M+ songs,Lossless,Full Library,None,Free w/ Ads
6,6,3,0,50M songs,Standard,None,None,$5.99/mo
6,7,1,0,100M+ songs,Lossless,Full Library,None,$5.99/mo
6,7,2,1,100M+ songs,Lossless,Limited,None,$5.99/mo
6,7,3,0,50M songs,High-Fi,Full Library,None,$5.99/mo
6,8,1,1,80M songs,Standard,Full Library,Live Listening,$5.99/mo
6,8,2,0,100M+ songs,Standard,Full Library,Shared Playlists,$5.99/mo
6,8,3,0,100M+ songs,Standard,None,None,$5.99/mo
7,1,1,0,50M songs,Standard,None,Shared Playlists,$11.99/mo
7,1,2,0,50M songs,Standard,None,Live Listening,$11.99/mo
7,1,3,1,100M+ songs,High-Fi,Limited,Live Listening,$5.99/mo
7,2,1,1,100M+ songs,Lossless,Full Library,Shared Playlists,$5.99/mo
7,2,2,0,50M songs,Standard,Full Library,None,Free w/ Ads
7,2,3,0,50M songs,Lossless,Limited,Shared Playlists,$11.99/mo
7,3,1,0,80M songs,Standard,Limited,Live Listening,$11.99/mo
7,3,2,0,100M+ songs,Standard,Full Library,Shared Playlists,Free w/ Ads
7,3,3,1,80M songs,Lossless,None,Live Listening,$11.99/mo
7,4,1,0,50M songs,Standard,Limited,None,$5.99/mo
7,4,2,1,80M songs,Standard,Limited,Shared Playlists,$5.99/mo
7,4,3,0,50M songs,Standard,None,Live Listening,$5.99/mo
7,5,1,0,50M songs,Standard,Limited,Shared Playlists,$5.99/mo
7,5,2,0,100M+ songs,High-Fi,Limited,Shared Playlists,$5.99/mo
7,5,3,1,100M+ songs,Lossless,Full Library,None,$11.99/mo
7,6,1,0,100M+ songs,High-Fi,Limited,None,$5.99/mo
7,6,2,0,80M songs,High-Fi,Limited,Live Listening,Free w/ Ads
7,6,3,1,80M songs,High-Fi,Full Library,Shared Playlists,Free w/ Ads
7,7,1,0,100M+ songs,Lossless,Limited,Shared Playlists,Free w/ Ads
7,7,2,0,100M+ songs,Lossless,None,Live Listening,Free w/ Ads
7,7,3,1,100M+ songs,High-Fi,Full Library,None,$5.99/mo
7,8,1,0,50M songs,Standard,None,Live Listening,$5.99/mo
7,8,2,1,80M songs,Lossless,None,Shared Playlists,$5.99/mo
7,8,3,0,80M songs,Lossless,Full Library,None,$5.99/mo
8,1,1,1,80M songs,Lossless,Full Library,None,$5.99/mo
8,1,2,0,80M songs,Lossless,None,None,$11.99/mo
8,1,3,0,50M songs,Lossless,None,Shared Playlists,Free w/ Ads
8,2,1,0,80M songs,Standard,None,Live Listening,$5.99/mo
