respondent_id,task_id,alternative_id,chosen,Color,Fit,Material,Design Placement
1,1,1,1,White,Regular,Performance Mesh,Small Logo
1,1,2,0,White,Oversized,100% Cotton,Back Print
1,1,3,0,Tie-Dye,Regular,100% Cotton,Back Print
1,2,1,0,Black,Oversized,Performance Mesh,Small Logo
1,2,2,0,Black,Oversized,Tri-Blend,Small Logo
1,2,3,1,White,Regular,Tri-Blend,Full Front
1,3,1,0,White,Slim,100% Cotton,Back Print
1,3,2,1,Tie-Dye,Regular,Performance Mesh,Back Print
1,3,3,0,Black,Oversized,Performance Mesh,Full Front
1,4,1,0,Black,Regular,100% Cotton,Small Logo
1,4,2,0,Black,Slim,100% Cotton,Small Logo
1,4,3,1,Black,Regular,Performance Mesh,Small Logo
1,5,1,0,Tie-Dye,Oversized,Tri-Blend,Full Front
1,5,2,0,White,Oversized,Tri-Blend,Full Front
1,5,3,1,Black,Regular,Performance Mesh,Back Print
1,6,1,0,Tie-Dye,Slim,Performance Mesh,Back Print
1,6,2,0,White,Slim,100% Cotton,Full Front
1,6,3,1,Black,Slim,Tri-Blend,Back Print
1,7,1,0,Black,Oversized,Performance Mesh,Back Print
1,7,2,0,Tie-Dye,Slim,100% Cotton,Small Logo
1,7,3,1,White,Regular,Performance Mesh,Small Logo
1,8,1,0,White,Slim,Tri-Blend,Small Logo
1,8,2,0,Black,Oversized,Tri-Blend,Small Logo
1,8,3,1,White,Regular,Performance Mesh,Back Print
2,1,1,0,Black,Regular,Performance Mesh,Back Print
2,1,2,1,Black,Oversized,Tri-Blend,Full Front
2,1,3,0,Black,Slim,Performance Mesh,Small Logo
2,2,1,0,White,Oversized,Performance Mesh,Small Logo
2,2,2,0,Black,Slim,100% Cotton,Back Print
2,2,3,1,Tie-Dye,Slim,Performance Mesh,Full Front
2,3,1,1,Tie-Dye,Slim,100% Cotton,Back Print
2,3,2,0,White,Slim,Performance Mesh,Back Print
2,3,3,0,Black,Slim,Performance Mesh,Small Logo
2,4,1,1,Black,Regular,Tri-Blend,Small Logo
2,4,2,0,White,Regular,Performance Mesh,Full Front
2,4,3,0,Tie-Dye,Regular,100% Cotton,Small Logo
2,5,1,0,Tie-Dye,Slim,100% Cotton,Small Logo
2,5,2,1,Black,Oversized,Tri-Blend,Small Logo
2,5,3,0,White,Slim,Performance Mesh,Back Print
2,6,1,0,White,Slim,100% Cotton,Back Print
2,6,2,1,Black,Oversized,Performance Mesh,Full Front
2,6,3,0,White,Oversized,Performance Mesh,Back Print
2,7,1,0,White,Oversized,Performance Mesh,Back Print
2,7,2,1,White,Oversized,Tri-Blend,Back Print
2,7,3,0,Black,Regular,100% Cotton,Full Front
2,8,1,0,Tie-Dye,Oversized,Performance Mesh,Small Logo
2,8,2,1,White,Oversized,100% Cotton,Back Print
2,8,3,0,Black,Slim,Performance Mesh,Small Logo
3,1,1,0,Black,Oversized,Performance Mesh,Back Print
3,1,2,0,White,Regular,Tri-Blend,Back Print
3,1,3,1,Black,Oversized,Performance Mesh,Back Print
3,2,1,0,White,Regular,100% Cotton,Small Logo
3,2,2,1,Black,Slim,Performance Mesh,Full Front
3,2,3,0,Black,Slim,Performance Mesh,Small Logo
3,3,1,1,Tie-Dye,Regular,100% Cotton,Back Print
3,3,2,0,Tie-Dye,Slim,Tri-Blend,Small Logo
3,3,3,0,Tie-Dye,Regular,Tri-Blend,Back Print
3,4,1,0,White,Oversized,Performance Mesh,Full Front
3,4,2,0,Tie-Dye,Slim,100% Cotton,Small Logo
3,4,3,1,Tie-Dye,Regular,Tri-Blend,Small Logo
3,5,1,0,White,Slim,Performance Mesh,Full Front
3,5,2,1,White,Regular,Tri-Blend,Back Print
3,5,3,0,Tie-Dye,Oversized,Performance Mesh,Full Front
3,6,1,1,White,Slim,Performance Mesh,Small Logo
3,6,2,0,Black,Slim,Tri-Blend,Back Print
3,6,3,0,White,Oversized,Tri-Blend,Full Front
3,7,1,0,Black,Regular,100% Cotton,Small Logo
3,7,2,0,White,Oversized,100% Cotton,Small Logo
3,7,3,1,Black,Slim,Performance Mesh,Small Logo
3,8,1,0,White,Regular,Performance Mesh,Small Logo
3,8,2,0,Black,Oversized,Tri-Blend,Full Front
3,8,3,1,Black,Oversized,100% Cotton,Full Front
4,1,1,1,Tie-Dye,Slim,100% Cotton,Back Print
4,1,2,0,Black,Slim,Performance Mesh,Small Logo
4,1,3,0,White,Slim,Tri-Blend,Back Print
4,2,1,1,White,Slim,Performance Mesh,Back Print
4,2,2,0,Black,Oversized,Performance Mesh,Small Logo
4,2,3,0,White,Slim,100% Cotton,Full Front
4,3,1,0,White,Regular,Tri-Blend,Small Logo
4,3,2,1,White,Slim,Tri-Blend,Small Logo
4,3,3,0,White,Slim,Performance Mesh,Full Front
4,4,1,1,White,Oversized,100% Cotton,Back Print
4,4,2,0,White,Regular,Tri-Blend,Back Print
4,4,3,0,White,Oversized,Performance Mesh,Back Print
4,5,1,0,Black,Regular,Performance Mesh,Back Print
4,5,2,0,White,Regular,100% Cotton,Back Print
4,5,3,1,Tie-Dye,Slim,100% Cotton,Small Logo
4,6,1,1,Tie-Dye,Oversized,100% Cotton,Back Print
4,6,2,0,White,Slim,Performance Mesh,Back Print
4,6,3,0,Tie-Dye,Regular,100% Cotton,Full Front
4,7,1,0,Tie-Dye,Regular,Performance Mesh,Full Front
4,7,2,1,Black,Regular,Tri-Blend,Full Front
4,7,3,0,Black,Oversized,Tri-Blend,Back Print
4,8,1,0,Tie-Dye,Oversized,Performance Mesh,Back Print
4,8,2,0,Tie-Dye,Regular,100% Cotton,Back Print
4,8,3,1,White,Regular,Performance Mesh,Small Logo
5,1,1,0,White,Regular,100% Cotton,Back Print
5,1,2,0,Black,Slim,Tri-Blend,Small Logo
5,1,3,1,Tie-Dye,Regular,100% Cotton,Small Logo
5,2,1,0,White,Regular,Performance Mesh,Full Front
5,2,2,0,Tie-Dye,Regular,Performance Mesh,Back Print
5,2,3,1,White,Slim,Tri-Blend,Full Front
5,3,1,1,Black,Oversized,Performance Mesh,Back Print
5,3,2,0,White,Oversized,Performance Mesh,Small Logo
5,3,3,0,Black,Regular,100% Cotton,Back Print
5,4,1,0,Black,Regular,Tri-Blend,Back Print
5,4,2,1,Tie-Dye,Slim,Tri-Blend,Full Front
5,4,3,0,Black,Slim,Performance Mesh,Small Logo
5,5,1,0,Black,Oversized,Performance Mesh,Small Logo
5,5,2,0,White,Regular,100% Cotton,Small Logo
5,5,3,1,Black,Regular,100% Cotton,Back Print
5,6,1,1,White,Regular,Tri-Blend,Full Front
5,6,2,0,Tie-Dye,Regular,100% Cotton,Full Front
5,6,3,0,Black,Regular,100% Cotton,Small Logo
5,7,1,0,Black,Regular,100% Cotton,Small Logo
5,7,2,0,White,Regular,100% Cotton,Small Logo
5,7,3,1,Black,Oversized,Performance Mesh,Full Front
5,8,1,0,White,Oversized,100% Cotton,Small Logo
5,8,2,1,Tie-Dye,Oversized,100% Cotton,Back Print
5,8,3,0,Tie-Dye,Regular,100% Cotton,Full Front
6,1,1,0,Tie-Dye,Oversized,100% Cotton,Full Front
6,1,2,0,Tie-Dye,Oversized,Tri-Blend,Small Logo
6,1,3,1,Tie-Dye,Regular,100% Cotton,Back Print
6,2,1,1,White,Oversized,100% Cotton,Small Logo
6,2,2,0,Black,Oversized,100% Cotton,Full Front
6,2,3,0,Black,Oversized,100% Cotton,Small Logo
6,3,1,0,Tie-Dye,Regular,100% Cotton,Back Print
6,3,2,0,Black,Slim,Performance Mesh,Back Print
6,3,3,1,White,Oversized,Performance Mesh,Full Front
6,4,1,0,Tie-Dye,Slim,Tri-Blend,Full Front
6,4,2,0,Tie-Dye,Slim,100% Cotton,Full Front
6,4,3,1,White,Slim,100% Cotton,Back Print
6,5,1,0,Tie-Dye,Regular,Tri-Blend,Back Print
6,5,2,1,Tie-Dye,Oversized,Performance Mesh,Full Front
6,5,3,0,White,Oversized,100% Cotton,Small Logo
6,6,1,0,Tie-Dye,Regular,Performance Mesh,Small Logo
6,6,2,1,Tie-Dye,Regular,Performance Mesh,Small Logo
6,6,3,0,Tie-Dye,Regular,Tri-Blend,Back Print
6,7,1,0,Tie-Dye,Slim,Performance Mesh,Small Logo
6,7,2,1,Black,Slim,Performance Mesh,Back Print
6,7,3,0,Black,Regular,Tri-Blend,Full Front
6,8,1,1,Black,Slim,Performance Mesh,Full Front
6,8,2,0,White,Slim,Tri-Blend,Small Logo
6,8,3,0,Black,Oversized,100% Cotton,Full Front
7,1,1,1,Black,Slim,100% Cotton,Full Front
7,1,2,0,White,Slim,Performance Mesh,Full Front
7,1,3,0,Black,Regular,Performance Mesh,Full Front
7,2,1,1,Black,Oversized,100% Cotton,Full Front
7,2,2,0,Black,Regular,Tri-Blend,Full Front
7,2,3,0,Tie-Dye,Slim,Tri-Blend,Full Front
7,3,1,0,White,Slim,Performance Mesh,Small Logo
7,3,2,1,Tie-Dye,Oversized,Performance Mesh,Full Front
7,3,3,0,Black,Oversized,Tri-Blend,Small Logo
7,4,1,0,White,Oversized,Performance Mesh,Small Logo
7,4,2,0,White,Slim,Tri-Blend,Full Front
7,4,3,1,Black,Oversized,Performance Mesh,Small Logo
7,5,1,0,White,Oversized,Tri-Blend,Small Logo
7,5,2,0,White,Regular,Tri-Blend,Small Logo
7,5,3,1,Tie-Dye,Slim,Performance Mesh,Full Front
7,6,1,0,White,Regular,100% Cotton,Full Front
7,6,2,1,Black,Regular,Tri-Blend,Back Print
7,6,3,0,Tie-Dye,Slim,100% Cotton,Full Front
7,7,1,0,Tie-Dye,Slim,Performance Mesh,Full Front
7,7,2,1,Tie-Dye,Oversized,100% Cotton,Back Print
7,7,3,0,Tie-Dye,Slim,Tri-Blend,Full Front
7,8,1,1,Black,Regular,Performance Mesh,Small Logo
7,8,2,0,Black,Slim,Tri-Blend,Back Print
7,8,3,0,White,Regular,Tri-Blend,Small Logo
8,1,1,0,Black,Regular,Tri-Blend,Back Print
8,1,2,0,Tie-Dye,Slim,Performance Mesh,Small Logo
8,1,3,1,Tie-Dye,Slim,Performance Mesh,Back Print
8,2,1,1,White,Oversized,Performance Mesh,Full Front
8,2,2,0,White,Regular,Tri-Blend,Full Front
8,2,3,0,White,Oversized,100% Cotton,Small Logo
8,3,1,0,White,Regular,Performance Mesh,Back Print
8,3,2,1,Tie-Dye,Oversized,100% Cotton,Full Front
8,3,3,0,Tie-Dye,Oversized,100% Cotton,Back Print
8,4,1,0,White,Oversized,Tri-Blend,Small Logo
8,4,2,0,Black,Slim,100% Cotton,Full Front
8,4,3,1,White,Regular,100% Cotton,Back Print
8,5,1,0,Black,Oversized,100% Cotton,Small Logo
8,5,2,0,Black,Regular,100% Cotton,Small Logo
8,5,3,1,Tie-Dye,Regular,100% Cotton,Back Print
8,6,1,0,Black,Regular,100% Cotton,Full Front
8,6,2,1,Black,Oversized,100% Cotton,Small Logo
8,6,3,0,Black,Regular,Performance Mesh,Small Logo
8,7,1,1,Tie-Dye,Regular,Performance Mesh,Full Front
8,7,2,0,Black,Regular,100% Cotton,Small Logo
8,7,3,0,Tie-Dye,Slim,Performance Mesh,Small Logo
8,8,1,1,Tie-Dye,Oversized,Tri-Blend,Full Front
8,8,2,0,White,Oversized,Performance Mesh,Small Logo
8,8,3,0,Black,Regular,Performance Mesh,Small Logo
9,1,1,0,White,Slim,100% Cotton,Small Logo
9,1,2,1,White,Regular,Performance Mesh,Small Logo
9,1,3,0,Black,Regular,Performance Mesh,Small Logo
9,2,1,0,Black,Regular,100% Cotton,Full Front
9,2,2,0,Tie-Dye,Slim,100% Cotton,Small Logo
9,2,3,1,Tie-Dye,Oversized,Tri-Blend,Back Print
9,3,1,1,Tie-Dye,Regular,Tri-Blend,Back Print
9,3,2,0,Black,Regular,Tri-Blend,Small Logo
9,3,3,0,Black,Slim,100% Cotton,Back Print
9,4,1,0,Black,Slim,Performance Mesh,Back Print
9,4,2,0,Tie-Dye,Slim,100% Cotton,Small Logo
9,4,3,1,Tie-Dye,Oversized,100% Cotton,Back Print
9,5,1,1,Tie-Dye,Regular,Performance Mesh,Back Print
9,5,2,0,Tie-Dye,Slim,100% Cotton,Small Logo
9,5,3,0,White,Oversized,100% Cotton,Full Front
9,6,1,0,Tie-Dye,Oversized,100% Cotton,Small Logo
9,6,2,1,Tie-Dye,Regular,Performance Mesh,Small Logo
9,6,3,0,White,Slim,Tri-Blend,Small Logo
9,7,1,0,White,Oversized,100% Cotton,Full Front
9,7,2,0,White,Slim,Tri-Blend,Small Logo
9,7,3,1,Black,Regular,100% Cotton,Full Front
9,8,1,1,White,Oversized,Tri-Blend,Small Logo
9,8,2,0,Black,Slim,100% Cotton,Small Logo
9,8,3,0,Tie-Dye,Slim,Performance Mesh,Full Front
10,1,1,0,Black,Regular,100% Cotton,Small Logo
10,1,2,0,Black,Oversized,100% Cotton,Full Front
10,1,3,1,Tie-Dye,Oversized,100% Cotton,Back Print
10,2,1,1,Tie-Dye,Slim,100% Cotton,Back Print
10,2,2,0,Black,Oversized,Tri-Blend,Back Print
10,2,3,0,Black,Oversized,100% Cotton,Back Print
10,3,1,0,White,Slim,100% Cotton,Back Print
10,3,2,0,Black,Oversized,Tri-Blend,Back Print
10,3,3,1,Tie-Dye,Regular,Performance Mesh,Full Front
10,4,1,0,Black,Oversized,100% Cotton,Full Front
10,4,2,0,White,Regular,100% Cotton,Back Print
10,4,3,1,Tie-Dye,Regular,Tri-Blend,Small Logo
10,5,1,0,Tie-Dye,Slim,Performance Mesh,Back Print
10,5,2,1,Black,Oversized,Tri-Blend,Back Print
10,5,3,0,White,Slim,Tri-Blend,Back Print
10,6,1,0,Tie-Dye,Regular,Performance Mesh,Small Logo
10,6,2,1,Tie-Dye,Oversized,Performance Mesh,Full Front
10,6,3,0,Tie-Dye,Oversized,Performance Mesh,Small Logo
10,7,1,0,Black,Slim,100% Cotton,Full Front
10,7,2,1,Tie-Dye,Regular,100% Cotton,Back Print
10,7,3,0,White,Oversized,Tri-Blend,Full Front
10,8,1,0,Black,Slim,100% Cotton,Full Front
10,8,2,1,Tie-Dye,Regular,Tri-Blend,Full Front
