respondent_id,task_id,alternative_id,chosen,course_format,weekly_hours,assessment_style
S001,1,A,1,Traditional_Lecture,2.5,Mixed
S001,1,B,0,Competitor_FlippedClassroom,3.5,Projects
S001,1,C,0,Traditional_Lecture,8.0,Exams
S001,1,D,0,Competitor_HybridOnline,2.5,Exams
S001,1,None,0,,,
S001,2,A,0,Traditional_Lecture,3.5,Projects
S001,2,B,1,Traditional_Lecture,6.5,Projects
S001,2,C,0,Competitor_HybridOnline,3.5,CaseStudies
S001,2,D,0,Competitor_ProjectBased,2.5,Projects
S001,2,None,0,,,
S001,3,A,0,Competitor_HybridOnline,4.5,Mixed
S001,3,B,0,Competitor_FlippedClassroom,3.5,Mixed
S001,3,C,0,Traditional_Lecture,2.5,CaseStudies
S001,3,D,0,Traditional_Lecture,4.5,Mixed
S001,3,None,1,,,
S001,4,A,0,Competitor_ProjectBased,2.5,CaseStudies
S001,4,B,0,Traditional_Lecture,5.5,Exams
S001,4,C,0,Competitor_ProjectBased,8.0,Mixed
S001,4,D,1,Competitor_FlippedClassroom,8.0,Exams
S001,4,None,0,,,
S001,5,A,0,Traditional_Lecture,8.0,Projects
S001,5,B,0,Competitor_ProjectBased,2.5,Projects
S001,5,C,0,Traditional_Lecture,5.5,Mixed
S001,5,D,0,Competitor_HybridOnline,8.0,Mixed
S001,5,None,1,,,
S001,6,A,0,Competitor_FlippedClassroom,4.5,Mixed
S001,6,B,0,Competitor_FlippedClassroom,8.0,Mixed
S001,6,C,0,Traditional_Lecture,6.5,Projects
S001,6,D,0,Competitor_FlippedClassroom,3.5,CaseStudies
S001,6,None,1,,,
S001,7,A,0,Competitor_HybridOnline,4.5,Projects
S001,7,B,1,Competitor_ProjectBased,2.5,Projects
S001,7,C,0,Traditional_Lecture,4.5,CaseStudies
S001,7,D,0,Competitor_ProjectBased,2.5,Projects
S001,7,None,0,,,
S001,8,A,0,Competitor_ProjectBased,3.5,CaseStudies
S001,8,B,1,Competitor_HybridOnline,8.0,CaseStudies
S001,8,C,0,Competitor_FlippedClassroom,4.5,Projects
S001,8,D,0,Competitor_FlippedClassroom,8.0,Mixed
S001,8,None,0,,,
S001,9,A,0,Competitor_HybridOnline,6.5,CaseStudies
S001,9,B,0,Competitor_ProjectBased,3.5,Projects
S001,9,C,0,Competitor_HybridOnline,2.5,Exams
S001,9,D,1,Traditional_Lecture,3.5,Projects
S001,9,None,0,,,
S001,10,A,0,Competitor_HybridOnline,6.5,Exams
S001,10,B,1,Competitor_HybridOnline,5.5,CaseStudies
S001,10,C,0,Competitor_ProjectBased,6.5,Exams
S001,10,D,0,Traditional_Lecture,8.0,Mixed
S001,10,None,0,,,
S001,11,A,1,Competitor_ProjectBased,2.5,Mixed
