respondent_id,task_id,alternative_id,chosen,brand,screen_size,storage,battery_life,camera,price
R001,1,A,0,BrandZ,6.5,64,12,Standard,599
R001,1,B,0,Samsung,5.5,256,12,Professional,899
R001,1,C,1,BrandY,6.0,128,24,Enhanced,499
R001,1,None,0,,,,,,
R001,2,A,1,iPhone,6.1,128,24,Enhanced,499
R001,2,B,0,BrandY,5.5,128,12,Professional,699
R001,2,C,0,BrandZ,6.1,256,12,Professional,499
R001,2,D,0,iPhone,6.0,128,12,Standard,499
R001,2,None,0,,,,,,
R001,3,A,0,BrandZ,6.0,256,24,Standard,599
R001,3,B,1,BrandY,6.5,128,24,Professional,899
R001,3,C,0,Samsung,6.1,64,12,Standard,699
R001,3,None,0,,,,,,
R001,4,A,0,Samsung,6.1,64,12,Professional,899
R001,4,B,0,BrandZ,6.1,256,24,Enhanced,899
R001,4,C,0,BrandY,6.1,64,12,Professional,799
R001,4,D,1,iPhone,5.5,64,12,Professional,599
R001,4,None,0,,,,,,
R001,5,A,1,iPhone,6.1,256,18,Standard,699
R001,5,B,0,BrandY,6.0,128,12,Professional,699
R001,5,C,0,BrandZ,6.0,256,12,Professional,699
R001,6,A,1,BrandZ,5.5,256,18,Enhanced,499
R001,6,B,0,iPhone,6.1,128,12,Standard,599
R001,6,C,0,BrandZ,5.5,64,24,Enhanced,499
R001,7,A,1,BrandX,6.5,64,24,Professional,599
R001,7,B,0,BrandX,6.5,256,24,Enhanced,799
R001,7,C,0,BrandZ,6.5,64,12,Standard,499
R001,7,None,0,,,,,,
R001,8,A,0,BrandX,5.5,256,12,Enhanced,799
R001,8,B,1,Samsung,6.0,256,24,Professional,799
R001,8,C,0,Samsung,6.5,128,12,Standard,499
R001,8,None,0,,,,,,
R001,9,A,1,iPhone,6.5,256,18,Standard,599
R001,9,B,0,Samsung,6.0,256,18,Standard,799
R001,9,C,0,Samsung,6.1,128,12,Standard,799
R001,10,A,1,iPhone,6.0,64,18,Enhanced,799
R001,10,B,0,Samsung,6.5,64,12,Enhanced,499
R001,10,C,0,BrandY,6.1,128,18,Enhanced,899
R001,10,None,0,,,,,,
R001,11,A,1,iPhone,5.5,256,18,Professional,899
R001,11,B,0,Samsung,5.5,256,12,Standard,499
R001,11,C,0,BrandZ,5.5,256,12,Enhanced,499
R001,12,A,1,BrandY,6.1,128,12,Professional,699
R001,12,B,0,Samsung,6.1,128,12,Professional,699
R001,12,C,0,BrandY,6.1,64,12,Enhanced,899
R002,1,A,1,BrandZ,5.5,256,24,Enhanced,499
R002,1,B,0,Samsung,6.1,64,12,Professional,899
R002,1,C,0,Samsung,6.1,128,24,Standard,699
R002,1,None,0,,,,,,
R002,2,A,1,iPhone,6.5,128,12,Standard,699
R002,2,B,0,Samsung,6.1,64,24,Enhanced,899
R002,2,C,0,BrandY,5.5,64,12,Professional,599
R002,2,None,0,,,,,,
R002,3,A,0,BrandX,6.0,256,12,Professional,499
R002,3,B,1,BrandX,6.5,256,24,Standard,599
R002,3,C,0,Samsung,6.0,128,12,Standard,699
R002,3,None,0,,,,,,
R002,4,A,0,iPhone,6.5,64,18,Standard,599
R002,4,B,0,BrandY,6.1,128,12,Standard,499
R002,4,C,1,Samsung,6.5,128,18,Standard,699
R002,4,None,0,,,,,,
R002,5,A,0,Samsung,6.1,64,12,Professional,799
R002,5,B,1,BrandX,6.1,128,24,Professional,499
R002,5,C,0,BrandY,6.0,128,12,Professional,799
R002,5,None,0,,,,,,
R002,6,A,0,BrandX,6.5,64,24,Enhanced,899
R002,6,B,1,BrandX,5.5,256,18,Professional,699
R002,6,C,0,BrandY,6.1,128,24,Enhanced,899
R002,6,None,0,,,,,,
R002,7,A,0,BrandX,6.1,64,18,Professional,899
R002,7,B,1,BrandX,6.5,128,18,Professional,599
R002,7,C,0,BrandZ,6.5,256,12,Professional,499
R002,7,None,0,,,,,,
R002,8,A,0,BrandX,6.0,64,12,Standard,499
R002,8,B,0,Samsung,6.5,256,12,Enhanced,799
R002,8,C,1,BrandZ,6.0,256,24,Enhanced,799
R002,8,None,0,,,,,,
R002,9,A,1,Samsung,6.5,64,24,Standard,499
R002,9,B,0,BrandY,6.0,128,24,Professional,899
R002,9,C,0,BrandZ,6.1,128,24,Professional,899
R002,9,None,0,,,,,,
R002,10,A,0,BrandX,6.0,256,18,Professional,799
R002,10,B,0,Samsung,6.1,128,12,Professional,699
R002,10,C,1,Samsung,6.1,128,18,Professional,499
R002,10,D,0,Samsung,6.0,64,18,Professional,599
R002,10,None,0,,,,,,
R002,11,A,0,BrandZ,6.5,128,12,Enhanced,699
R002,11,B,1,BrandY,6.5,256,24,Professional,899
R002,11,C,0,BrandZ,6.0,128,12,Enhanced,799
R002,11,None,0,,,,,,
R002,12,A,1,Samsung,5.5,128,24,Professional,499
R002,12,B,0,iPhone,6.5,64,18,Standard,499
R002,12,C,0,BrandX,6.5,128,12,Enhanced,699
R002,12,D,0,BrandX,6.5,128,18,Enhanced,499
R002,12,None,0,,,,,,
R003,1,A,0,BrandY,6.1,128,12,Professional,899
R003,1,B,1,iPhone,6.0,128,12,Professional,499
R003,1,C,0,BrandX,6.5,128,24,Standard,499
R003,1,None,0,,,,,,
R003,2,A,0,BrandZ,5.5,128,24,Enhanced,699
R003,2,B,1,iPhone,6.1,64,18,Enhanced,499
R003,2,C,0,BrandY,6.1,256,18,Professional,599
R003,2,None,0,,,,,,
R003,3,A,0,BrandZ,6.1,128,12,Standard,699
R003,3,B,0,BrandY,6.0,128,24,Professional,799
R003,3,C,1,BrandX,5.5,128,18,Standard,799
R003,3,D,0,Samsung,6.1,128,18,Enhanced,899
R003,3,None,0,,,,,,
R003,4,A,0,BrandZ,6.0,256,18,Professional,799
R003,4,B,0,BrandY,5.5,64,18,Standard,799
R003,4,C,1,Samsung,6.1,256,24,Enhanced,799
R003,4,D,0,BrandZ,6.1,128,24,Professional,699
R003,4,None,0,,,,,,
R003,5,A,1,Samsung,6.0,256,18,Enhanced,899
R003,5,B,0,BrandZ,6.1,64,12,Enhanced,599
R003,5,C,0,BrandX,6.0,128,12,Professional,899
R003,5,None,0,,,,,,
R003,6,A,0,iPhone,5.5,256,18,Enhanced,799
R003,6,B,0,BrandY,6.1,64,12,Enhanced,799
R003,6,C,0,iPhone,5.5,128,18,Standard,899
R003,6,D,1,iPhone,6.0,64,24,Enhanced,499
R003,7,A,0,BrandZ,6.5,128,18,Enhanced,899
R003,7,B,0,BrandY,6.1,256,24,Standard,899
R003,7,C,1,iPhone,6.0,256,12,Enhanced,499
R003,7,None,0,,,,,,
R003,8,A,0,BrandX,6.1,256,18,Standard,599
R003,8,B,0,BrandX,6.0,128,12,Professional,599
R003,8,C,1,Samsung,6.1,64,12,Standard,599
R003,8,None,0,,,,,,
R003,9,A,0,BrandX,6.5,128,24,Professional,799
R003,9,B,0,BrandY,5.5,256,12,Enhanced,699
R003,9,C,0,BrandZ,6.1,64,12,Standard,899
R003,9,D,1,BrandZ,5.5,256,18,Professional,499
R003,9,None,0,,,,,,
R003,10,A,1,BrandY,6.1,128,18,Enhanced,499
R003,10,B,0,Samsung,6.1,128,24,Enhanced,699
R003,10,C,0,BrandY,5.5,128,12,Enhanced,699
R003,10,None,0,,,,,,
R003,11,A,0,BrandY,5.5,64,24,Enhanced,899
R003,11,B,0,BrandY,6.5,64,12,Enhanced,899
R003,11,C,1,Samsung,6.1,128,24,Enhanced,499
R003,11,D,0,iPhone,6.0,256,12,Enhanced,899
R003,11,None,0,,,,,,
R003,12,A,0,BrandZ,6.1,128,18,Enhanced,599
R003,12,B,0,BrandY,6.0,128,12,Professional,899
R003,12,C,1,Samsung,5.5,128,18,Enhanced,899
R003,12,None,0,,,,,,
R004,1,A,0,Samsung,6.0,256,18,Standard,799
R004,1,B,1,iPhone,6.1,256,18,Professional,799
R004,1,C,0,BrandY,6.0,128,12,Standard,899
R004,2,A,0,BrandZ,6.5,64,24,Standard,799
R004,2,B,1,Samsung,5.5,128,18,Enhanced,899
R004,2,C,0,BrandY,5.5,128,24,Professional,799
R004,3,A,0,BrandZ,5.5,64,24,Professional,699
R004,3,B,1,Samsung,5.5,128,12,Professional,499
R004,3,C,0,BrandY,6.0,256,18,Standard,499
R004,3,None,0,,,,,,
R004,4,A,1,Samsung,6.0,64,24,Enhanced,899
R004,4,B,0,Samsung,6.5,256,12,Standard,799
R004,4,C,0,BrandX,6.5,128,24,Standard,799
R004,5,A,0,BrandZ,6.1,256,18,Professional,699
R004,5,B,1,BrandY,6.1,64,18,Enhanced,499
R004,5,C,0,Samsung,6.5,256,18,Professional,699
R004,6,A,1,iPhone,5.5,256,24,Enhanced,699
R004,6,B,0,Samsung,6.1,64,24,Standard,899
R004,6,C,0,BrandX,6.0,256,12,Professional,499
R004,6,None,0,,,,,,
R004,7,A,0,BrandX,6.5,64,12,Standard,899
R004,7,B,1,BrandX,6.1,64,18,Enhanced,699
R004,7,C,0,BrandX,5.5,128,12,Standard,599
R004,8,A,0,iPhone,6.5,64,18,Professional,499
R004,8,B,1,BrandY,6.1,256,24,Professional,699
R004,8,C,0,BrandZ,6.5,256,18,Standard,599
R004,8,None,0,,,,,,
R004,9,A,0,BrandX,6.5,64,12,Standard,499
R004,9,B,0,BrandX,6.5,64,12,Standard,899
R004,9,C,1,Samsung,6.5,128,18,Professional,899
R004,9,D,0,BrandY,6.0,128,24,Standard,799
R004,9,None,0,,,,,,
R004,10,A,0,BrandX,5.5,256,18,Professional,699
R004,10,B,0,iPhone,6.5,128,12,Standard,799
R004,10,C,1,iPhone,6.0,256,24,Professional,499
R004,10,None,0,,,,,,
R004,11,A,0,Samsung,6.1,64,24,Standard,699
R004,11,B,1,Samsung,6.0,256,18,Standard,499
R004,11,C,0,iPhone,6.0,64,18,Standard,899
R004,11,None,0,,,,,,
R004,12,A,1,BrandY,6.5,128,24,Professional,499
R004,12,B,0,BrandY,6.0,256,12,Professional,899
R004,12,C,0,BrandX,6.5,256,12,Standard,799
R005,1,A,0,BrandY,6.1,128,24,Professional,799
R005,1,B,1,iPhone,5.5,256,24,Professional,599
R005,1,C,0,BrandY,6.5,64,18,Enhanced,799
R005,1,None,0,,,,,,
R005,2,A,0,iPhone,5.5,64,12,Enhanced,499
R005,2,B,0,BrandX,6.0,256,12,Professional,899
R005,2,C,0,BrandZ,6.1,256,12,Enhanced,699
R005,2,D,1,BrandY,5.5,128,24,Enhanced,699
R005,2,None,0,,,,,,
R005,3,A,0,iPhone,6.1,256,12,Enhanced,899
R005,3,B,0,BrandZ,5.5,256,24,Professional,699
R005,3,C,1,iPhone,6.0,128,24,Enhanced,699
R005,3,None,0,,,,,,
R005,4,A,0,BrandZ,6.0,128,18,Enhanced,699
R005,4,B,1,Samsung,6.1,128,24,Enhanced,899
R005,4,C,0,BrandZ,5.5,64,12,Standard,899
R005,4,None,0,,,,,,
R005,5,A,0,BrandX,6.0,256,12,Enhanced,799
R005,5,B,1,iPhone,6.1,256,24,Professional,799
R005,5,C,0,BrandZ,6.1,64,12,Enhanced,899
R005,5,D,0,iPhone,5.5,64,18,Standard,599
R005,5,None,0,,,,,,
R005,6,A,1,iPhone,6.5,256,12,Enhanced,499
R005,6,B,0,BrandY,5.5,128,24,Enhanced,899
R005,6,C,0,BrandY,6.5,128,12,Enhanced,499
R005,7,A,0,iPhone,6.5,64,12,Enhanced,899
R005,7,B,0,BrandY,5.5,128,18,Professional,699
R005,7,C,0,Samsung,6.1,64,12,Professional,499
R005,7,None,1,,,,,,
R005,8,A,1,Samsung,5.5,64,18,Standard,599
R005,8,B,0,BrandZ,6.0,256,12,Standard,799
R005,8,C,0,BrandY,6.5,256,24,Professional,899
R005,8,None,0,,,,,,
R005,9,A,0,BrandX,5.5,128,18,Enhanced,499
R005,9,B,1,iPhone,6.1,128,12,Professional,499
R005,9,C,0,BrandZ,6.5,128,24,Professional,499
R005,9,None,0,,,,,,
R005,10,A,1,iPhone,6.5,64,18,Professional,499
R005,10,B,0,BrandZ,6.0,64,12,Professional,799
R005,10,C,0,BrandY,6.0,128,18,Enhanced,799
R005,10,None,0,,,,,,
R005,11,A,1,BrandX,6.1,256,24,Professional,599
R005,11,B,0,BrandX,5.5,256,24,Standard,699
R005,11,C,0,BrandX,6.5,64,24,Professional,499
R005,11,D,0,BrandX,6.5,256,18,Standard,899
R005,11,None,0,,,,,,
R005,12,A,0,BrandY,6.0,64,12,Standard,499
R005,12,B,0,BrandX,5.5,256,24,Professional,899
R005,12,C,1,iPhone,6.1,256,12,Professional,799
R005,12,None,0,,,,,,
R006,1,A,0,BrandX,6.5,64,18,Professional,899
R006,1,B,0,BrandY,6.5,128,18,Professional,899
R006,1,C,1,BrandY,6.0,64,24,Standard,699
R006,1,None,0,,,,,,
