respondent_id,task_id,alternative_id,chosen,brand,screen_size,storage,battery_life,camera,price
R001,1,A,1,BrandX,6.5,128.0,18.0,Enhanced,599.0
R001,1,B,0,BrandX,6.0,64.0,12.0,Enhanced,499.0
R001,1,C,0,BrandY,6.0,256.0,18.0,Standard,799.0
R001,1,,0,,,,,,
R001,2,A,0,BrandY,5.5,256.0,18.0,Professional,899.0
R001,2,B,0,BrandY,6.5,64.0,24.0,Standard,499.0
R001,2,C,1,BrandZ,5.5,128.0,12.0,Standard,499.0
R001,2,,0,,,,,,
R001,3,A,0,BrandY,5.5,128.0,18.0,Standard,699.0
R001,3,B,0,BrandZ,6.5,256.0,12.0,Professional,599.0
R001,3,C,1,BrandZ,6.5,64.0,12.0,Enhanced,799.0
R001,3,,0,,,,,,
R001,4,A,0,BrandZ,6.5,64.0,24.0,Enhanced,499.0
R001,4,B,1,BrandX,5.5,128.0,18.0,Enhanced,499.0
R001,4,C,0,BrandX,6.5,256.0,18.0,Standard,799.0
R001,4,,0,,,,,,
R001,5,A,0,BrandY,5.5,128.0,12.0,Standard,899.0
R001,5,B,1,BrandZ,6.0,256.0,24.0,Enhanced,899.0
R001,5,C,0,BrandY,6.0,64.0,12.0,Professional,799.0
R001,5,,0,,,,,,
R001,5,iPhone,0,iPhone,6.1,128.0,18.0,Enhanced,799.0
R001,6,A,0,BrandX,6.5,64.0,24.0,Enhanced,899.0
R001,6,B,0,BrandX,6.0,128.0,24.0,Enhanced,899.0
R001,6,C,1,BrandY,6.5,64.0,24.0,Professional,499.0
R001,6,,0,,,,,,
R001,7,A,0,BrandY,6.5,128.0,12.0,Enhanced,799.0
R001,7,B,1,BrandX,6.0,64.0,24.0,Professional,699.0
R001,7,C,0,BrandZ,5.5,256.0,12.0,Professional,699.0
R001,8,A,0,BrandX,5.5,128.0,12.0,Professional,899.0
R001,8,B,1,BrandX,6.5,128.0,18.0,Standard,499.0
R001,8,C,0,BrandY,6.0,64.0,12.0,Standard,899.0
R001,8,Samsung,0,Samsung,6.5,256.0,24.0,Professional,899.0
R001,9,A,1,BrandX,6.5,64.0,12.0,Professional,799.0
R001,9,B,0,BrandZ,5.5,128.0,24.0,Professional,799.0
R001,9,C,0,BrandX,6.5,256.0,24.0,Standard,699.0
R001,9,,0,,,,,,
R001,10,A,1,BrandY,6.0,256.0,18.0,Standard,599.0
R001,10,B,0,BrandX,5.5,128.0,12.0,Professional,899.0
R001,10,C,0,BrandX,6.5,64.0,12.0,Standard,499.0
R001,10,,0,,,,,,
R001,11,A,0,BrandY,5.5,256.0,12.0,Enhanced,799.0
R001,11,B,0,BrandX,6.5,64.0,24.0,Professional,899.0
R001,11,C,1,BrandY,5.5,128.0,18.0,Standard,499.0
R001,11,,0,,,,,,
R001,12,A,1,BrandY,6.0,128.0,24.0,Standard,499.0
R001,12,B,0,BrandX,6.0,256.0,18.0,Standard,599.0
R001,12,C,0,BrandX,5.5,256.0,18.0,Standard,799.0
R001,12,,0,,,,,,
R002,1,A,0,BrandY,6.0,128.0,24.0,Professional,899.0
R002,1,B,1,BrandZ,6.5,128.0,12.0,Standard,699.0
R002,1,C,0,BrandX,5.5,256.0,24.0,Professional,499.0
R002,1,Samsung,0,Samsung,6.5,256.0,24.0,Professional,899.0
R002,2,A,0,BrandZ,6.5,64.0,12.0,Professional,499.0
R002,2,B,0,BrandX,5.5,256.0,12.0,Professional,599.0
R002,2,C,0,BrandY,5.5,256.0,12.0,Professional,899.0
R002,2,,0,,,,,,
R002,2,Samsung,1,Samsung,6.5,256.0,24.0,Professional,899.0
R002,3,A,0,BrandY,5.5,256.0,24.0,Enhanced,599.0
R002,3,B,1,BrandY,6.0,64.0,24.0,Professional,699.0
R002,3,C,0,BrandY,6.0,64.0,12.0,Enhanced,899.0
R002,4,A,1,BrandX,6.5,64.0,24.0,Enhanced,599.0
R002,4,B,0,BrandY,5.5,64.0,18.0,Enhanced,599.0
R002,4,C,0,BrandY,6.5,256.0,18.0,Professional,899.0
R002,4,,0,,,,,,
R002,5,A,0,BrandY,6.5,64.0,12.0,Enhanced,499.0
R002,5,B,0,BrandX,6.5,256.0,12.0,Enhanced,699.0
R002,5,C,0,BrandZ,5.5,256.0,18.0,Standard,699.0
R002,5,,0,,,,,,
R002,5,iPhone,1,iPhone,6.1,128.0,18.0,Enhanced,799.0
R002,6,A,0,BrandX,6.5,128.0,18.0,Standard,499.0
R002,6,B,0,BrandY,5.5,256.0,18.0,Standard,799.0
R002,6,C,1,BrandZ,6.5,128.0,24.0,Standard,499.0
R002,6,,0,,,,,,
R002,7,A,1,BrandX,6.5,64.0,18.0,Professional,899.0
R002,7,B,0,BrandX,6.0,64.0,12.0,Enhanced,699.0
R002,7,C,0,BrandX,6.0,64.0,24.0,Standard,499.0
R002,7,,0,,,,,,
R002,8,A,1,BrandY,6.5,256.0,12.0,Standard,599.0
R002,8,B,0,BrandX,6.0,64.0,12.0,Professional,699.0
R002,8,C,0,BrandY,6.5,256.0,12.0,Enhanced,599.0
R002,8,iPhone,0,iPhone,6.1,128.0,18.0,Enhanced,799.0
R002,9,A,0,BrandY,5.5,64.0,18.0,Enhanced,699.0
R002,9,B,0,BrandX,5.5,64.0,24.0,Standard,799.0
R002,9,C,1,BrandY,6.0,64.0,18.0,Enhanced,899.0
R002,9,,0,,,,,,
R002,10,A,0,BrandZ,6.0,64.0,12.0,Enhanced,599.0
R002,10,B,0,BrandZ,6.0,64.0,12.0,Professional,799.0
R002,10,C,1,BrandY,6.5,128.0,18.0,Professional,899.0
R002,10,,0,,,,,,
R002,11,A,0,BrandX,6.0,64.0,24.0,Enhanced,499.0
R002,11,B,1,BrandZ,6.5,256.0,24.0,Professional,599.0
R002,11,C,0,BrandY,6.0,64.0,24.0,Enhanced,899.0
R002,11,,0,,,,,,
R002,12,A,0,BrandZ,6.0,256.0,18.0,Professional,799.0
R002,12,B,0,BrandY,6.0,256.0,18.0,Professional,599.0
R002,12,C,1,BrandX,6.0,256.0,18.0,Professional,599.0
R002,12,,0,,,,,,
R003,1,A,0,BrandX,5.5,64.0,12.0,Standard,599.0
R003,1,B,0,BrandY,6.5,64.0,18.0,Enhanced,899.0
R003,1,C,1,BrandX,6.5,256.0,18.0,Enhanced,799.0
R003,1,,0,,,,,,
R003,2,A,0,BrandX,5.5,128.0,12.0,Standard,899.0
R003,2,B,1,BrandY,5.5,256.0,12.0,Standard,799.0
R003,2,C,0,BrandX,6.0,256.0,24.0,Professional,899.0
R003,2,,0,,,,,,
R003,3,A,0,BrandY,6.5,256.0,24.0,Enhanced,899.0
R003,3,B,1,BrandY,5.5,256.0,18.0,Enhanced,699.0
R003,3,C,0,BrandX,6.5,128.0,24.0,Enhanced,599.0
R003,3,,0,,,,,,
R003,3,Samsung,0,Samsung,6.5,256.0,24.0,Professional,899.0
R003,4,A,1,BrandX,6.0,128.0,18.0,Professional,499.0
R003,4,B,0,BrandX,5.5,64.0,18.0,Professional,599.0
R003,4,C,0,BrandZ,5.5,64.0,18.0,Enhanced,699.0
R003,4,,0,,,,,,
R003,5,A,1,BrandX,6.0,128.0,24.0,Professional,499.0
R003,5,B,0,BrandZ,6.0,128.0,12.0,Enhanced,699.0
R003,5,C,0,BrandY,6.0,256.0,24.0,Professional,899.0
R003,6,A,1,BrandY,5.5,128.0,18.0,Enhanced,499.0
R003,6,B,0,BrandY,6.0,256.0,24.0,Enhanced,599.0
R003,6,C,0,BrandY,5.5,256.0,24.0,Standard,799.0
R003,6,,0,,,,,,
R003,7,A,0,BrandX,6.5,128.0,12.0,Enhanced,599.0
R003,7,B,0,BrandX,6.0,128.0,18.0,Standard,799.0
R003,7,C,1,BrandY,6.0,128.0,18.0,Enhanced,699.0
R003,8,A,0,BrandZ,6.5,64.0,18.0,Standard,499.0
R003,8,B,0,BrandZ,5.5,64.0,12.0,Standard,499.0
R003,8,C,0,BrandZ,5.5,64.0,12.0,Enhanced,499.0
R003,8,,0,,,,,,
R003,8,Samsung,1,Samsung,6.5,256.0,24.0,Professional,899.0
R003,9,A,0,BrandY,5.5,256.0,24.0,Professional,499.0
R003,9,B,0,BrandX,6.0,64.0,24.0,Standard,699.0
R003,9,C,1,BrandZ,6.5,128.0,18.0,Professional,599.0
R003,9,,0,,,,,,
R003,10,A,0,BrandZ,5.5,64.0,24.0,Enhanced,899.0
R003,10,B,0,BrandX,6.5,64.0,18.0,Professional,799.0
R003,10,C,1,BrandZ,6.0,64.0,24.0,Professional,699.0
R003,10,,0,,,,,,
R003,11,A,0,BrandY,5.5,128.0,18.0,Professional,799.0
R003,11,B,1,BrandZ,5.5,128.0,12.0,Professional,899.0
R003,11,C,0,BrandZ,6.0,256.0,24.0,Enhanced,799.0
R003,11,,0,,,,,,
R003,12,A,0,BrandY,6.0,64.0,12.0,Enhanced,799.0
R003,12,B,0,BrandX,6.0,256.0,24.0,Professional,799.0
R003,12,C,1,BrandY,5.5,128.0,18.0,Standard,799.0
R003,12,,0,,,,,,
R004,1,A,1,BrandZ,6.0,128.0,24.0,Professional,699.0
R004,1,B,0,BrandY,6.5,256.0,18.0,Enhanced,799.0
R004,1,C,0,BrandY,6.0,128.0,12.0,Standard,599.0
R004,1,,0,,,,,,
R004,2,A,0,BrandZ,5.5,64.0,12.0,Professional,799.0
R004,2,B,1,BrandY,6.5,256.0,24.0,Professional,699.0
R004,2,C,0,BrandX,5.5,128.0,12.0,Enhanced,599.0
R004,2,,0,,,,,,
R004,3,A,0,BrandX,6.0,64.0,12.0,Professional,699.0
R004,3,B,0,BrandZ,5.5,256.0,18.0,Standard,499.0
R004,3,C,1,BrandZ,6.0,128.0,18.0,Enhanced,699.0
R004,3,,0,,,,,,
R004,3,Samsung,0,Samsung,6.5,256.0,24.0,Professional,899.0
R004,4,A,1,BrandX,5.5,128.0,18.0,Standard,899.0
