respondent_id,task_id,alternative_id,chosen,library_size,original_content,ad_experience,simultaneous_streams,video_quality,price
S001,1,A,0,Large,None,With_Ads,4,4K,19.99
S001,1,B,1,Small,Moderate,Ad_Free,2,HD,5.99
S001,1,C,0,Large,None,With_Ads,1,4K,5.99
S001,2,A,0,Small,Moderate,With_Ads,1,4K,5.99
S001,2,B,1,Large,Extensive,Ad_Free,4,4K,9.99
S001,2,C,0,Small,None,Ad_Free,4,HD,9.99
S001,2,None,0,,,,,,
S001,3,A,0,Small,Extensive,Ad_Free,2,4K,19.99
S001,3,B,0,Medium,Extensive,With_Ads,4,4K,14.99
S001,3,C,1,Small,Moderate,Ad_Free,4,4K,14.99
S001,3,None,0,,,,,,
S001,4,A,1,Medium,Moderate,Ad_Free,2,4K,5.99
S001,4,B,0,Large,Extensive,With_Ads,4,HD,19.99
S001,4,C,0,Large,Moderate,Ad_Free,2,4K,5.99
S001,5,A,1,Small,Moderate,Ad_Free,1,HD,5.99
S001,5,B,0,Small,Moderate,With_Ads,2,HD,5.99
S001,5,C,0,Small,None,Ad_Free,4,4K,14.99
S001,5,None,0,,,,,,
S001,6,A,0,Medium,None,With_Ads,1,HD,19.99
S001,6,B,1,Medium,None,Ad_Free,1,4K,5.99
S001,6,C,0,Medium,Extensive,Ad_Free,1,HD,14.99
S001,6,None,0,,,,,,
S001,7,A,0,Medium,None,With_Ads,2,HD,19.99
S001,7,B,0,Large,Extensive,With_Ads,1,4K,9.99
S001,7,C,1,Medium,Extensive,Ad_Free,4,HD,9.99
S001,7,None,0,,,,,,
S001,8,A,0,Small,Moderate,With_Ads,1,4K,19.99
S001,8,B,0,Small,Extensive,With_Ads,2,HD,9.99
S001,8,C,0,Medium,Extensive,With_Ads,1,4K,9.99
S001,8,None,0,,,,,,
S001,8,Netflix,1,Large,Extensive,Ad_Free,4,4K,15.99
S001,9,A,1,Large,Moderate,With_Ads,1,4K,9.99
S001,9,B,0,Large,None,Ad_Free,1,HD,19.99
S001,9,C,0,Small,Moderate,With_Ads,1,HD,9.99
S001,9,None,0,,,,,,
S001,10,A,1,Large,Extensive,With_Ads,4,4K,14.99
S001,10,B,0,Medium,Extensive,With_Ads,1,4K,19.99
S001,10,C,0,Large,Extensive,With_Ads,2,4K,9.99
S001,10,None,0,,,,,,
S002,1,A,0,Large,None,With_Ads,2,4K,9.99
S002,1,B,1,Medium,Extensive,With_Ads,2,4K,5.99
S002,1,C,0,Medium,None,With_Ads,4,4K,9.99
S002,1,None,0,,,,,,
S002,2,A,1,Large,Moderate,Ad_Free,4,HD,14.99
S002,2,B,0,Large,None,With_Ads,4,HD,9.99
S002,2,C,0,Large,Moderate,Ad_Free,4,HD,9.99
S002,2,None,0,,,,,,
S002,3,A,0,Small,None,With_Ads,4,4K,19.99
S002,3,B,0,Medium,Moderate,With_Ads,4,HD,9.99
S002,3,C,0,Medium,None,Ad_Free,2,4K,19.99
S002,3,None,1,,,,,,
S002,4,A,0,Medium,Extensive,Ad_Free,1,4K,19.99
S002,4,B,0,Medium,Moderate,With_Ads,2,4K,9.99
S002,4,C,1,Small,Extensive,Ad_Free,4,HD,5.99
S002,4,None,0,,,,,,
S002,5,A,0,Medium,None,Ad_Free,2,HD,9.99
S002,5,B,1,Small,Moderate,Ad_Free,4,4K,9.99
S002,5,C,0,Large,Moderate,Ad_Free,1,4K,9.99
S002,5,None,0,,,,,,
S002,6,A,0,Medium,Extensive,Ad_Free,1,HD,14.99
S002,6,B,1,Medium,Extensive,Ad_Free,2,4K,19.99
S002,6,C,0,Large,Extensive,Ad_Free,1,HD,19.99
S002,6,None,0,,,,,,
S002,7,A,0,Small,None,With_Ads,4,HD,5.99
S002,7,B,1,Large,None,Ad_Free,1,4K,19.99
S002,7,C,0,Small,Extensive,With_Ads,2,4K,19.99
S002,7,None,0,,,,,,
S002,8,A,0,Small,None,With_Ads,2,4K,14.99
S002,8,B,0,Large,None,With_Ads,2,4K,5.99
S002,8,C,1,Small,Extensive,With_Ads,1,HD,14.99
S002,8,None,0,,,,,,
S002,9,A,1,Large,Extensive,With_Ads,4,4K,9.99
S002,9,B,0,Large,None,Ad_Free,2,4K,19.99
S002,9,C,0,Large,Extensive,With_Ads,4,4K,14.99
S002,9,None,0,,,,,,
S002,10,A,0,Medium,None,Ad_Free,2,HD,5.99
S002,10,B,0,Large,None,Ad_Free,1,4K,14.99
S002,10,C,1,Large,Extensive,Ad_Free,4,HD,5.99
S002,10,None,0,,,,,,
S003,1,A,0,Small,Extensive,Ad_Free,2,4K,14.99
S003,1,B,0,Small,Extensive,With_Ads,2,4K,19.99
S003,1,C,1,Medium,None,With_Ads,2,4K,9.99
S003,2,A,0,Large,Moderate,Ad_Free,4,HD,5.99
S003,2,B,0,Medium,None,Ad_Free,1,HD,9.99
S003,2,C,1,Small,Extensive,Ad_Free,2,4K,9.99
S003,2,None,0,,,,,,
S003,2,Netflix,0,Large,Extensive,Ad_Free,4,4K,15.99
S003,3,A,0,Medium,Moderate,Ad_Free,4,4K,9.99
S003,3,B,0,Small,None,With_Ads,4,4K,19.99
S003,3,C,1,Small,None,Ad_Free,1,HD,5.99
S003,3,None,0,,,,,,
S003,4,A,1,Medium,Extensive,Ad_Free,2,4K,5.99
S003,4,B,0,Medium,Extensive,With_Ads,1,4K,19.99
S003,4,C,0,Medium,Moderate,Ad_Free,2,4K,5.99
S003,4,None,0,,,,,,
S003,5,A,0,Medium,None,With_Ads,1,HD,14.99
S003,5,B,1,Small,None,Ad_Free,4,4K,14.99
S003,5,C,0,Large,Moderate,With_Ads,4,HD,5.99
S003,5,None,0,,,,,,
S003,6,A,0,Medium,Extensive,With_Ads,1,HD,14.99
S003,6,B,1,Small,Extensive,Ad_Free,4,4K,5.99
S003,6,C,0,Small,None,Ad_Free,2,HD,5.99
S003,6,None,0,,,,,,
S003,7,A,0,Medium,None,With_Ads,1,HD,5.99
S003,7,B,1,Small,Moderate,Ad_Free,2,HD,5.99
S003,7,C,0,Medium,Extensive,With_Ads,2,HD,14.99
S003,7,None,0,,,,,,
S003,8,A,1,Small,None,Ad_Free,4,4K,5.99
S003,8,B,0,Medium,Moderate,With_Ads,4,HD,9.99
S003,8,C,0,Large,Moderate,Ad_Free,1,4K,19.99
S003,8,None,0,,,,,,
S003,8,Netflix,0,Large,Extensive,Ad_Free,4,4K,15.99
S003,9,A,1,Large,Moderate,With_Ads,4,HD,9.99
S003,9,B,0,Large,Extensive,Ad_Free,1,4K,5.99
S003,9,C,0,Large,Moderate,With_Ads,1,HD,9.99
S003,9,Netflix,0,Large,Extensive,Ad_Free,4,4K,15.99
S003,10,A,0,Medium,Extensive,Ad_Free,1,HD,5.99
S003,10,B,1,Large,Moderate,With_Ads,4,HD,9.99
S003,10,C,0,Medium,Extensive,With_Ads,2,4K,14.99
S003,10,None,0,,,,,,
S004,1,A,1,Medium,None,Ad_Free,2,4K,5.99
S004,1,B,0,Small,None,With_Ads,4,4K,5.99
S004,1,C,0,Large,None,With_Ads,1,HD,9.99
S004,2,A,0,Large,None,With_Ads,1,HD,14.99
S004,2,B,1,Medium,Extensive,Ad_Free,4,HD,5.99
S004,2,C,0,Medium,None,With_Ads,1,4K,14.99
S004,2,None,0,,,,,,
S004,3,A,0,Large,Extensive,With_Ads,1,4K,5.99
S004,3,B,1,Large,Moderate,With_Ads,2,4K,5.99
S004,3,C,0,Medium,None,With_Ads,1,HD,5.99
S004,4,A,0,Small,Extensive,With_Ads,2,4K,5.99
