Enrolled,Total_Spend,Prior_Spend,Months_Customer,Age,Store_Visits
0,919.17,621.18,17,39,13
0,742.07,271.87,25,47,13
1,1089.19,781.33,19,31,6
1,925.01,456.29,32,41,9
0,1031.47,824.68,16,45,11
0,833.52,429.91,17,25,14
0,1127.9,782.85,8,50,6
1,1194.78,690.85,17,45,10
1,1130.77,524.6,12,34,12
0,859.85,537.98,14,35,10
0,1231.45,935.27,17,23,8
0,958.98,507.66,25,42,10
0,1018.14,773.99,13,33,7
0,1142.11,690.11,18,55,10
1,1078.32,536.45,21,54,10
0,1015.98,678.12,8,25,9
1,1292.51,895.39,18,63,9
0,719.43,352.48,12,38,9
0,722.94,200,24,47,8
1,1352.0,1047.96,23,33,6
1,1090.46,669.56,8,43,5
1,1132.68,685.44,33,29,12
1,1399.32,999.14,5,52,12
0,712.28,309.97,24,50,7
1,926.7,527.8,21,22,8
1,1541.32,1200,13,30,8
1,1006.89,509.94,27,41,13
0,986.33,544.19,31,27,13
0,1054.39,673.74,22,54,8
0,741.24,295.5,19,45,6
0,865.32,610.78,6,45,10
1,1402.25,986.81,18,48,6
1,1465.77,650.55,36,22,13
1,1303.37,887.85,29,22,17
0,963.08,511.86,18,37,11
0,1051.62,635.53,20,27,2
0,683.99,350.94,14,46,13
0,842.34,530.69,18,36,6
1,1363.39,929.63,35,47,11
0,1034.17,519.41,30,57,10
1,932.06,418.61,23,22,9
0,932.5,505.62,9,51,9
1,1306.64,848.84,22,65,10
1,1239.49,802.82,33,30,13
0,1218.89,806.64,7,22,2
1,1127.16,668.11,14,57,12
0,1237.13,848.6,24,38,15
1,1287.05,921.69,17,54,16
0,888.63,507.23,21,61,10
0,1262.14,977.93,10,36,12
1,1305.06,856.81,12,48,5
1,1143.54,773.27,29,27,15
0,940.01,650.28,22,45,2
0,985.54,570.32,32,30,17
0,1404.32,972.72,20,26,18
0,916.4,374.85,17,61,16
0,1092.48,713.48,33,30,11
1,1042.81,693.34,20,50,17
0,1047.57,522.67,12,55,9
1,1462.43,1001.79,27,65,10
0,904.39,626.68,11,29,7
0,926.33,579.02,18,39,14
0,942.34,634.93,6,37,11
1,1322.43,802.03,25,24,9
0,842.97,513.06,22,49,13
0,684.59,262.42,13,33,10
0,826.36,411.72,22,32,6
1,1359.21,870.57,30,28,11
0,876.41,528.74,13,48,4
1,1228.9,781.6,24,41,2
0,857.25,407.83,24,46,16
1,1349.77,941.99,31,41,10
1,1393.32,876.09,36,36,10
0,888.18,469.99,22,23,15
0,976.89,863.81,11,37,5
0,963.48,523.6,18,26,10
1,1100.3,674.08,8,33,8
0,1175.44,805.27,14,54,12
0,1020.72,630.29,15,27,13
0,1022.66,851.17,27,31,7
0,1101.16,634.11,19,28,15
1,1032.22,589.88,18,25,8
1,1163.34,605.35,19,31,15
0,1209.37,843.26,26,52,14
1,1332.89,932.81,20,49,13
0,1137.18,744.99,12,58,5
0,946.57,648.82,21,55,11
1,1123.97,884.54,20,23,10
0,1144.43,764.06,19,53,14
1,1261.3,953.86,19,33,5
1,1184.56,868.18,3,42,11
0,709.33,200,8,51,15
1,1480.4,925.99,26,50,6
0,1020.67,614.59,13,50,7
0,1246.93,867.73,6,64,16
0,763.15,374.05,6,48,13
1,1045.68,426.68,16,22,13
0,882.45,347.43,32,53,10
1,1112.08,615.03,19,45,8
0,895.56,475.74,27,27,10
0,1184.21,924.08,25,22,10
1,1106.59,465.59,19,35,11
0,774.57,452.63,14,28,9
1,1387.71,922.29,17,49,12
0,713.58,319.6,15,43,13
0,674.74,200,12,38,12
0,899.81,664.48,19,31,9
0,916.51,548.25,29,57,2
0,698.79,438.44,20,42,11
1,1138.52,701.84,15,43,9
0,763.6,492.88,15,46,10
0,839.54,430.88,19,54,6
0,1174.23,820.4,18,28,6
1,1144.44,605.86,21,57,11
1,1258.83,868.83,18,32,8
0,708.82,349.69,6,45,16
0,915.65,403.3,3,27,12
0,964.28,446.23,22,43,8
0,872.1,625.24,22,33,4
1,1142.61,649.31,20,42,7
0,1468.78,1079.4,29,48,6
0,915.54,649.2,18,43,10
0,1136.07,759.38,15,25,7
0,1029.77,750.33,12,55,12
0,900.58,535.37,37,46,5
0,1090.12,812.42,26,38,2
0,764.49,450.83,16,44,14
0,801.77,410.47,21,55,14
1,1361.17,1038.83,33,33,8
1,1076.58,570.38,39,61,14
1,1292.83,765.94,10,37,5
0,733.85,200,18,55,3
1,1458.18,940.08,7,37,17
0,1028.6,554.4,21,31,8
0,826.68,536.8,18,29,9
1,966.94,590.58,16,47,8
0,888.56,659.55,16,39,4
1,1295.5,843.75,28,22,9
0,577.38,309.33,9,49,7
0,1141.81,735.61,8,49,13
0,915.07,487.73,28,26,4
1,835.03,498.8,13,57,10
0,1154.59,906.77,23,65,3
0,1027.48,686.7,7,22,4
1,1324.94,991.9,22,37,14
0,1081.0,599.72,19,33,17
1,1198.68,675.44,36,48,13
1,1112.26,677.47,24,22,9
1,1037.2,499.6,27,32,7
0,1010.11,539.88,11,49,10
1,1143.6,817.13,18,57,9
0,831.33,527.51,18,36,6
0,870.39,569.24,32,31,8
0,755.1,442.73,16,23,13
0,977.7,545.77,13,25,12
0,1167.97,739.74,18,33,13
0,494.28,215.8,15,44,7
1,1333.11,691.25,18,29,18
0,1295.4,1037.94,15,35,2
0,821.36,470.26,18,38,6
1,969.67,525.72,9,53,2
1,1160.64,694.79,26,30,12
1,1336.64,846.16,3,36,14
0,933.71,593.55,14,40,12
0,896.28,492.02,6,52,9
1,1345.23,820.91,26,48,2
1,968.13,501.27,24,62,8
1,977.04,419.4,25,38,8
0,1208.35,777.26,11,31,5
0,1025.14,697.04,18,46,9
1,1158.29,687.1,23,47,7
1,1179.28,641.18,21,35,12
1,1084.67,625.76,16,61,11
1,1185.22,760.7,30,46,3
0,1170.44,692.03,9,51,13
1,1228.08,744.12,25,29,2
0,855.42,449.08,19,35,6
0,1138.13,686.57,16,37,9
0,913.54,355.77,41,27,9
1,1162.13,831.57,25,26,11
0,987.92,512.56,20,33,14
1,1387.38,768.69,14,30,15
0,953.6,693.49,15,56,14
0,984.36,557.82,11,36,13
0,873.94,650.72,3,34,2
0,1219.49,860.91,21,57,10
0,972.97,421.63,28,22,7
0,1017.19,591.17,9,29,19
1,1269.99,636.2,23,37,7
1,1229.53,665.49,11,35,14
1,1096.36,646.6,12,30,12
0,753.41,309.11,15,38,12
0,896.97,576.72,12,33,6
1,1515.95,981.86,24,48,9
1,1096.55,619.67,16,27,13
0,1126.13,780.65,22,47,10
0,1078.55,738.05,25,36,5
0,1016.92,577.41,20,37,19
1,980.96,417.96,13,37,6
1,1017.35,673.16,22,24,14
1,1143.08,733.55,13,28,7
0,1124.15,819.25,16,46,8
0,1088.19,803.97,14,37,3
1,1108.09,762.13,22,55,10
0,1072.12,683.4,9,41,3
1,950.42,531.71,11,27,14
1,1236.66,846.52,22,37,13
0,970.49,642.05,15,41,11
0,1167.58,819.77,9,27,10
0,581.97,239.19,4,47,8
1,1168.86,691.7,20,60,15
0,839.68,418.9,21,48,6
1,1127.59,754.8,24,37,14
1,1051.93,446.37,16,36,15
0,883.59,601.96,6,60,5
0,855.5,595.13,6,65,9
0,1080.63,809.26,15,25,15
0,693.23,320.5,17,22,4
0,874.9,527.34,24,44,13
0,994.58,662.35,20,44,11
0,1203.74,861.45,4,51,11
1,1116.44,792.64,26,59,11
0,818.03,459.84,21,36,7
0,1368.88,974.35,9,45,7
0,1036.53,747.62,11,65,6
1,1133.2,842.28,3,35,13
1,1219.31,649.99,29,51,6
1,1028.48,328.36,15,60,9
0,710.89,203.01,25,42,14
1,1139.81,661.04,12,40,14
1,1327.35,996.81,12,28,4
1,1326.21,1016.3,17,34,9
0,1060.0,785.12,21,48,6
0,1033.91,633.14,16,50,14
1,978.91,556.55,19,53,7
0,954.68,635.64,23,50,8
0,725.88,606.64,15,44,10
0,962.31,622.54,10,36,4
0,895.18,649.17,19,43,6
0,858.14,402.08,17,29,15
0,1174.57,807.63,30,22,11
1,1096.84,583.11,19,27,10
1,1486.67,1099.46,23,22,9
1,1249.45,984.54,21,51,12
0,941.08,785.93,23,55,6
0,1246.52,1002.62,9,40,14
0,953.81,638.36,15,22,6
0,990.15,723.67,14,31,7
0,933.76,614.95,20,48,7
0,1381.83,1200,21,38,8
0,856.85,437.92,3,50,14
0,1072.0,666.19,19,29,6
0,753.04,439.77,3,26,15
0,1079.2,612.91,14,33,15
0,944.64,455.21,25,39,13
1,1276.28,646.25,26,33,16
0,1119.88,824.55,13,55,13
0,1090.02,817.4,27,46,16
1,1310.89,905.8,13,44,5
0,1046.65,754.22,18,37,6
0,780.2,389.17,14,49,12
0,961.62,410.38,20,22,20
0,785.36,362.83,22,26,17
1,1055.95,552.44,26,37,11
1,1375.27,718.67,22,32,16
1,916.98,495.96,21,32,7
0,1026.53,569.52,27,33,10
0,1123.42,891.72,16,24,13
0,1043.37,710.04,18,30,6
0,769.82,443.55,12,29,8
1,906.23,290.61,20,36,7
0,1001.95,729.13,13,41,7
0,877.93,610.64,3,46,10
1,1096.88,583.76,12,42,10
1,966.52,443.59,25,40,18
0,1158.28,882.13,13,59,5
0,1004.98,634.43,20,53,8
1,1232.46,832.14,27,44,14
0,721.04,272.6,14,22,13
1,1061.1,459.81,10,49,12
0,951.97,310.05,18,33,22
0,1414.07,1019.07,7,53,5
1,1158.99,725.07,27,36,10
0,1117.44,846.47,7,44,6
1,1452.9,969.32,39,39,7
0,766.12,432.66,16,30,12
0,1272.19,912.67,17,46,4
0,964.3,687.81,32,36,11
0,968.69,544.16,16,29,6
1,1370.74,891.99,37,46,11
0,1277.67,827.81,28,22,14
0,900.05,416.1,22,42,11
0,821.96,478.66,17,52,18
1,1227.49,922.68,16,23,8
1,1190.75,655.59,28,45,21
0,1232.39,782.24,16,30,5
0,1067.46,635.03,22,35,6
0,766.13,200,20,31,9
0,1009.65,506.02,20,32,10
0,875.83,523.89,25,53,7
0,895.33,370.31,16,52,11
0,1171.61,852.72,28,40,14
1,1187.67,814.53,12,50,20
0,686.99,303.33,27,48,4
0,1157.79,756.09,15,46,8
0,974.47,646.43,3,41,19
1,1469.71,908.67,19,65,17
1,1023.26,632.86,3,41,13
1,1196.65,740.5,21,31,11
0,857.84,297.49,6,32,14
1,1258.82,761.95,9,55,13
0,1251.94,786.7,18,49,11
0,987.3,547.27,30,57,10
0,988.15,688.17,15,51,2
0,983.37,612.63,22,49,8
0,1037.77,755.09,26,56,7
1,927.04,405.78,20,36,8
0,662.95,243.77,26,46,10
1,1273.57,883.19,22,24,10
0,1160.13,863.81,22,45,8
1,1030.1,729.24,10,27,10
0,963.66,734.95,17,28,13
0,1345.43,826.43,20,65,15
0,1047.44,845.82,26,42,11
0,954.88,522.9,11,52,10
0,853.77,542.68,13,24,4
1,1241.52,757.87,27,22,9
0,948.73,650.94,14,57,5
0,1180.1,652.88,25,35,19
1,1285.03,887.13,6,50,11
1,1139.38,692.11,19,25,6
0,828.93,447.46,19,48,11
0,912.35,560.16,32,39,7
0,823.46,494.55,17,46,8
0,1267.87,1101.86,25,59,4
1,1105.94,753.34,37,35,7
0,994.92,551.65,20,26,15
0,858.16,512.73,14,22,14
0,1073.0,549.55,16,40,13
