resource_id,input,output
Northeast,15000,217680
Northeast,20000,427521
Northeast,25000,257990
Northeast,30000,645550
Southwest,8000,47924
Southwest,12000,103363
Southwest,16000,78772
Southwest,20000,199849
Midwest,12000,128840
Midwest,16000,310668
Midwest,20000,258930
Midwest,24000,391554
Southeast,6000,142322
Southeast,10000,384528
Southeast,14000,341527
Southeast,18000,637788
Pacific,18000,217254
Pacific,24000,413467
Pacific,30000,362774
Pacific,36000,717910
Mountain,5000,26935
Mountain,8000,51702
Mountain,11000,44690
Mountain,14000,105382
MidAtlantic,14000,333880
MidAtlantic,19000,674713
MidAtlantic,24000,594031
MidAtlantic,29000,1056849
NewEngland,9000,71343
NewEngland,13000,168836
NewEngland,17000,134049
NewEngland,21000,262187
Gulf_Coast,7000,145922
Gulf_Coast,11000,301608
Gulf_Coast,15000,284260
Gulf_Coast,19000,565861
GreatLakes,11000,110406
GreatLakes,15000,231180
GreatLakes,19000,159664
GreatLakes,23000,355505
Plains,4000,16706
Plains,7000,40500
Plains,10000,39312
Plains,13000,94064
SoCal,20000,444523
SoCal,27000,852023
SoCal,34000,732787
SoCal,41000,1247585
