resource_id,input,output
Rep_Adams,3200,29978
Rep_Adams,4800,68911
Rep_Adams,6400,52887
Rep_Adams,8000,111437
Rep_Baker,2500,29246
Rep_Baker,5000,75765
Rep_Baker,7500,74873
Rep_Baker,10000,183467
Rep_Chen,1800,7425
Rep_Chen,3600,19593
Rep_Chen,5400,18177
Rep_Chen,7200,41959
Rep_Davis,4200,100713
Rep_Davis,7000,247498
Rep_Davis,9800,159135
Rep_Davis,12600,478683
Rep_Evans,3500,33541
Rep_Evans,5250,78073
Rep_Evans,7000,54105
Rep_Evans,8750,114754
Rep_Foster,2200,25851
Rep_Foster,4400,65120
Rep_Foster,6600,61587
Rep_Foster,8800,135731
Rep_Garcia,5100,137425
Rep_Garcia,7650,356424
Rep_Garcia,10200,270393
Rep_Garcia,12750,601989
Rep_Harris,4600,80558
Rep_Harris,6900,159188
Rep_Harris,9200,134886
Rep_Harris,11500,260874
Rep_Ito,2800,8496
Rep_Ito,5600,27959
Rep_Ito,8400,21326
Rep_Ito,11200,55544
Rep_Johnson,5800,192688
Rep_Johnson,8700,379728
Rep_Johnson,11600,317371
Rep_Johnson,14500,666128
Rep_Kim,2100,20825
Rep_Kim,4200,58881
Rep_Kim,6300,42065
Rep_Kim,8400,119398
Rep_Lopez,4300,72527
Rep_Lopez,6450,177125
Rep_Lopez,8600,147434
Rep_Lopez,10750,294004
Rep_Martinez,3800,35364
Rep_Martinez,6650,82034
Rep_Martinez,9500,70551
Rep_Martinez,12350,168004
Rep_Nelson,2900,39713
Rep_Nelson,4850,113305
Rep_Nelson,6800,83040
Rep_Nelson,8750,227774
Rep_Owens,5200,93656
Rep_Owens,8200,256256
Rep_Owens,11200,228725
Rep_Owens,14200,433302
Rep_Parker,1900,5103
Rep_Parker,3800,14554
Rep_Parker,5700,13161
Rep_Parker,7600,29179
Rep_Quinn,4800,140314
Rep_Quinn,7200,346430
Rep_Quinn,9600,309294
Rep_Quinn,12000,516658
Rep_Roberts,3100,30990
Rep_Roberts,5600,77449
Rep_Roberts,8100,45049
Rep_Roberts,10600,138143
Rep_Smith,6200,209660
Rep_Smith,9300,414684
Rep_Smith,12400,375987
Rep_Smith,15500,692356
Rep_Taylor,2600,12376
Rep_Taylor,5200,41860
Rep_Taylor,7800,31431
Rep_Taylor,10400,80060
