resource_id,input,output
Rep_Anderson,20,165916
Rep_Anderson,30,362512
Rep_Anderson,40,287983
Rep_Anderson,50,526994
Rep_Brooks,15,38160
Rep_Brooks,25,96696
Rep_Brooks,35,83162
Rep_Brooks,45,163086
Rep_Carter,25,134139
Rep_Carter,35,312758
Rep_Carter,45,245826
Rep_Carter,55,491103
Rep_Dixon,10,127250
Rep_Dixon,20,365542
Rep_Dixon,30,330783
Rep_Dixon,40,768162
Rep_Ellis,30,213835
Rep_Ellis,40,374249
Rep_Ellis,50,283291
Rep_Ellis,60,551834
Rep_Flynn,12,18959
Rep_Flynn,22,57849
Rep_Flynn,32,51789
Rep_Flynn,42,94472
Rep_Green,35,407522
Rep_Green,47,717923
Rep_Green,59,446792
Rep_Green,71,1102911
Rep_Hughes,18,90891
Rep_Hughes,28,223989
Rep_Hughes,38,179941
Rep_Hughes,48,372656
Rep_Ingram,8,65126
Rep_Ingram,16,187995
Rep_Ingram,24,151800
Rep_Ingram,32,324456
Rep_James,40,310120
Rep_James,52,737682
Rep_James,64,549205
Rep_James,76,955472
Rep_Kane,14,58767
Rep_Kane,24,180291
Rep_Kane,34,150799
Rep_Kane,44,246354
Rep_Lee,32,353717
Rep_Lee,44,602987
Rep_Lee,56,466548
Rep_Lee,68,1026129
Rep_Moore,22,120766
Rep_Moore,32,223167
Rep_Moore,42,153333
Rep_Moore,52,383670
Rep_Nash,16,44906
Rep_Nash,26,111678
Rep_Nash,36,64828
Rep_Nash,46,193660
Rep_Olson,45,558688
Rep_Olson,60,1217832
Rep_Olson,75,824973
Rep_Olson,90,1582072
Rep_Park,11,16777
Rep_Park,21,47146
Rep_Park,31,35379
Rep_Park,41,85973
Rep_Quinn_T,38,490748
Rep_Quinn_T,51,962961
Rep_Quinn_T,64,523776
Rep_Quinn_T,77,1445589
Rep_Ross,24,129908
Rep_Ross,34,252315
Rep_Ross,44,181639
Rep_Ross,54,379957
Rep_Stone,28,196935
Rep_Stone,38,472758
Rep_Stone,48,417573
Rep_Stone,58,657139
Rep_Turner,19,60851
Rep_Turner,29,147698
Rep_Turner,39,125405
Rep_Turner,49,280560
