Segment,Outcome
Enrolled Member,Coupon
Enrolled Member,Coupon
Enrolled Member,Coupon
Enrolled Member,Coupon
Enrolled Member,Coupon
Enrolled Member,Coupon
Enrolled Member,Coupon
Enrolled Member,Coupon
Enrolled Member,Coupon
Enrolled Member,Coupon
Enrolled Member,Coupon
Enrolled Member,Coupon
Enrolled Member,Coupon
Enrolled Member,Coupon
Enrolled Member,Coupon
Enrolled Member,Coupon
Enrolled Member,Coupon
Enrolled Member,Coupon
Enrolled Member,Coupon
Enrolled Member,Coupon
Enrolled Member,Visit
Enrolled Member,Visit
Enrolled Member,Visit
Enrolled Member,Visit
Enrolled Member,Visit
Enrolled Member,Visit
Enrolled Member,Visit
Enrolled Member,Visit
Enrolled Member,Visit
Enrolled Member,Visit
Enrolled Member,Visit
Enrolled Member,Visit
Enrolled Member,Visit
Enrolled Member,Visit
Enrolled Member,Visit
Enrolled Member,None
Enrolled Member,None
Enrolled Member,None
Enrolled Member,None
Enrolled Member,None
Enrolled Member,None
Enrolled Member,None
Enrolled Member,None
Enrolled Member,None
Enrolled Member,None
In-Store Fan,Coupon
In-Store Fan,Coupon
In-Store Fan,Coupon
In-Store Fan,Coupon
In-Store Fan,Coupon
In-Store Fan,Coupon
In-Store Fan,Coupon
In-Store Fan,Coupon
In-Store Fan,Coupon
In-Store Fan,Coupon
In-Store Fan,Coupon
In-Store Fan,Coupon
In-Store Fan,Visit
In-Store Fan,Visit
In-Store Fan,Visit
In-Store Fan,Visit
In-Store Fan,Visit
In-Store Fan,Visit
In-Store Fan,Visit
In-Store Fan,Visit
In-Store Fan,Visit
In-Store Fan,Visit
In-Store Fan,Visit
In-Store Fan,Visit
In-Store Fan,None
In-Store Fan,None
In-Store Fan,None
In-Store Fan,None
In-Store Fan,None
In-Store Fan,None
In-Store Fan,None
In-Store Fan,None
In-Store Fan,None
In-Store Fan,None
In-Store Fan,None
Digital App User,Coupon
Digital App User,Coupon
Digital App User,Coupon
Digital App User,Coupon
Digital App User,Coupon
Digital App User,Coupon
Digital App User,Coupon
Digital App User,Coupon
Digital App User,Coupon
Digital App User,Coupon
Digital App User,Coupon
Digital App User,Coupon
Digital App User,Coupon
Digital App User,Coupon
Digital App User,Coupon
Digital App User,Visit
Digital App User,Visit
Digital App User,Visit
Digital App User,Visit
Digital App User,Visit
Digital App User,Visit
Digital App User,Visit
Digital App User,Visit
Digital App User,Visit
Digital App User,Visit
Digital App User,Visit
Digital App User,Visit
Digital App User,Visit
Digital App User,Visit
Digital App User,None
Digital App User,None
Digital App User,None
Digital App User,None
Digital App User,None
Digital App User,None
Digital App User,None
Digital App User,None
Digital App User,None
Digital App User,None
Digital App User,None
