first_order_value,orders_first_90_days,subscription_status,referral_count,segment
105.19,2,Subscriber,3,Premium
50.45,8,One-Time,1,Premium
46.67,3,One-Time,1,Budget
50.13,6,Subscriber,4,Premium
68.66,2,Subscriber,4,Premium
87.9,1,One-Time,0,Standard
108.5,6,Subscriber,0,Premium
93.73,10,Subscriber,3,Premium
116.03,5,Subscriber,0,Premium
120.52,7,Subscriber,1,Premium
54.1,8,Subscriber,0,Premium
84.65,1,Subscriber,4,Premium
44.49,1,Subscriber,1,Budget
111.95,1,Subscriber,0,Standard
74.29,6,Subscriber,0,Premium
16.74,1,Subscriber,3,Standard
138.32,11,Subscriber,2,Premium
21,5,Subscriber,2,Standard
86.87,5,Subscriber,5,Premium
114.24,1,One-Time,5,Standard
110.94,2,Subscriber,2,Premium
119.77,2,Subscriber,1,Premium
84.23,11,One-Time,4,Premium
54.08,7,One-Time,3,Premium
61.63,11,Subscriber,1,Premium
20.19,3,One-Time,2,Budget
149.12,2,Subscriber,1,Premium
116.41,10,Subscriber,0,Premium
135.95,3,One-Time,5,Standard
88.62,7,One-Time,1,Premium
39.71,1,Subscriber,5,Standard
120.52,2,One-Time,1,Standard
90.6,7,One-Time,0,Premium
67.85,10,Subscriber,2,Premium
77.59,6,One-Time,4,Standard
29.49,1,Subscriber,5,Standard
69.54,7,Subscriber,0,Premium
145.13,10,Subscriber,2,Premium
98.15,11,One-Time,4,Premium
60.86,6,One-Time,1,Standard
104.7,3,Subscriber,1,Premium
101.4,1,Subscriber,4,Premium
120.14,11,One-Time,2,Premium
145.84,2,One-Time,1,Standard
82.62,8,Subscriber,4,Premium
85.36,8,Subscriber,3,Premium
93.53,3,One-Time,0,Standard
43.95,4,Subscriber,1,Standard
134.08,6,Subscriber,2,Premium
104.45,11,Subscriber,5,Premium
39.77,11,One-Time,3,Standard
144.08,1,Subscriber,5,Premium
139.11,10,One-Time,0,Premium
93.33,1,One-Time,2,Standard
103.5,11,Subscriber,5,Premium
19.17,4,One-Time,0,Budget
85.45,5,Subscriber,1,Premium
101.9,7,Subscriber,3,Premium
