website_visits,email_opens,company_size,days_since_signup,converted
33,1,Small,31,No
13,9,Medium,11,No
12,3,Medium,19,No
13,6,Small,49,No
20,1,Small,42,No
27,0,Enterprise,9,No
34,6,Small,3,Yes
29,10,Small,32,No
37,4,Small,2,Yes
39,8,Small,15,No
15,8,Small,3,No
26,0,Medium,42,No
11,0,Medium,16,Yes
36,0,Medium,1,No
22,6,Medium,1,No
1,0,Small,39,No
45,12,Medium,23,No
3,4,Small,26,No
27,5,Small,54,No
37,0,Enterprise,57,No
35,2,Small,27,No
39,1,Small,13,No
26,12,Enterprise,40,No
15,7,Enterprise,39,Yes
17,12,Small,13,Yes
2,2,Medium,25,Yes
49,1,Small,19,No
37,10,Small,3,No
44,3,Enterprise,50,No
27,8,Medium,12,Yes
9,0,Small,56,No
39,1,Enterprise,12,Yes
28,7,Enterprise,8,No
20,11,Medium,21,No
23,7,Enterprise,48,Yes
6,0,Small,56,No
20,7,Medium,8,No
48,11,Small,20,No
31,12,Enterprise,45,Yes
17,6,Enterprise,15,No
33,2,Small,14,No
32,1,Medium,48,No
39,12,Enterprise,28,No
48,2,Medium,13,No
25,9,Small,48,Yes
26,9,Small,32,No
29,2,Enterprise,4,Yes
11,4,Small,18,Yes
44,6,Medium,27,No
33,12,Medium,51,Yes
9,12,Medium,37,No
47,1,Medium,52,No
46,11,Enterprise,1,Yes
29,0,Enterprise,25,No
33,12,Small,56,No
2,4,Medium,3,No
26,4,Medium,13,No
32,7,Small,40,Yes
7,10,Small,58,No
1,7,Medium,10,Yes
32,1,Enterprise,11,No
10,8,Medium,51,No
31,5,Medium,12,No
28,6,Enterprise,25,No
48,9,Small,19,No
40,9,Small,35,No
23,12,Medium,51,Yes
21,5,Small,34,No
1,12,Medium,19,No
36,5,Small,12,No
23,11,Enterprise,30,Yes
47,11,Medium,38,No
25,4,Small,7,No
31,11,Medium,10,Yes
7,4,Small,1,No
2,3,Enterprise,49,No
20,7,Small,47,Yes
27,0,Small,39,Yes
26,10,Medium,43,No
34,11,Medium,24,No
39,10,Enterprise,48,No
5,10,Enterprise,51,Yes
35,12,Enterprise,49,Yes
45,2,Small,49,No
29,11,Enterprise,4,No
18,11,Medium,7,No
7,11,Medium,58,Yes
28,8,Small,8,Yes
37,1,Small,28,No
28,12,Enterprise,17,No
24,8,Medium,3,Yes
43,12,Enterprise,57,Yes
12,5,Enterprise,52,Yes
41,5,Enterprise,47,No
13,11,Small,37,No
23,9,Medium,40,Yes
18,1,Small,7,No
26,4,Medium,41,Yes
31,10,Medium,49,No
17,3,Small,25,No
6,1,Enterprise,23,No
30,6,Enterprise,26,No
6,6,Small,41,No
5,3,Enterprise,23,No
24,12,Small,38,Yes
24,6,Small,40,No
9,6,Small,8,Yes
12,2,Enterprise,22,No
2,5,Small,51,Yes
8,7,Enterprise,52,No
3,7,Enterprise,52,Yes
7,12,Small,8,Yes
4,1,Small,10,No
31,5,Small,31,No
44,7,Medium,29,Yes
2,12,Small,35,Yes
45,11,Medium,48,Yes
30,7,Small,3,Yes
12,11,Medium,6,No
44,2,Enterprise,13,No
36,6,Small,9,No
24,2,Medium,22,Yes
9,9,Enterprise,1,Yes
12,8,Medium,55,Yes
3,3,Small,28,No
48,12,Small,40,No
42,0,Small,11,No
21,8,Small,49,No
20,2,Enterprise,1,No
27,2,Medium,44,No
10,9,Enterprise,11,Yes
24,5,Enterprise,39,Yes
26,12,Enterprise,44,Yes
6,8,Medium,38,No
27,4,Medium,10,No
44,5,Small,35,No
38,4,Medium,6,Yes
5,1,Enterprise,48,No
47,12,Medium,49,Yes
23,5,Small,48,No
45,8,Enterprise,46,Yes
41,1,Enterprise,32,No
2,5,Small,42,No
7,5,Medium,19,Yes
1,9,Enterprise,43,No
27,9,Enterprise,55,Yes
23,4,Small,50,Yes
5,5,Enterprise,3,No
49,4,Medium,19,No
26,11,Enterprise,34,Yes
3,10,Enterprise,42,No
10,12,Small,47,No
6,4,Enterprise,22,Yes
34,2,Small,40,No
36,8,Medium,42,Yes
35,4,Medium,51,No
33,9,Small,49,Yes
34,7,Medium,6,No
8,2,Enterprise,32,No
33,5,Enterprise,17,Yes
16,7,Small,25,Yes
19,2,Small,36,Yes
42,6,Medium,19,No
18,0,Small,14,No
5,9,Small,50,No
27,9,Small,13,Yes
13,4,Small,39,Yes
4,5,Enterprise,26,No
26,6,Enterprise,3,No
32,10,Medium,41,Yes
30,5,Enterprise,55,Yes
30,5,Medium,25,No
34,0,Enterprise,9,No
25,4,Enterprise,9,No
45,3,Medium,28,No
28,10,Small,51,Yes
36,0,Medium,5,No
42,7,Small,33,No
32,0,Medium,35,Yes
23,8,Enterprise,15,Yes
15,0,Medium,54,No
18,10,Small,6,No
40,3,Medium,5,Yes
32,8,Enterprise,18,No
45,1,Small,35,Yes
44,10,Small,24,Yes
44,0,Enterprise,23,Yes
33,6,Medium,50,No
3,3,Small,59,No
19,5,Medium,28,No
40,11,Medium,19,No
8,11,Enterprise,46,Yes
26,9,Enterprise,44,No
39,4,Small,2,No
6,2,Enterprise,48,No
31,0,Small,50,No
23,6,Medium,57,No
1,7,Medium,49,No
39,7,Enterprise,30,No
15,5,Medium,19,No
49,2,Small,1,Yes
32,12,Medium,26,No
7,8,Small,1,No
2,2,Enterprise,11,No
11,10,Medium,8,No
26,5,Medium,51,No
12,8,Enterprise,52,No
13,2,Medium,39,No
4,11,Small,52,No
5,6,Enterprise,37,No
5,6,Small,39,No
10,10,Small,20,No
12,6,Enterprise,50,No
26,10,Small,14,No
43,8,Small,17,No
16,8,Medium,22,No
49,8,Enterprise,55,No
38,5,Small,8,No
21,12,Small,51,No
30,1,Small,9,No
15,4,Medium,59,Yes
21,2,Enterprise,3,No
27,4,Enterprise,45,No
28,8,Enterprise,20,No
5,7,Small,38,Yes
44,5,Medium,36,No
11,4,Medium,8,Yes
33,2,Enterprise,51,Yes
29,6,Small,42,Yes
5,1,Medium,4,Yes
49,3,Enterprise,12,Yes
37,3,Enterprise,47,Yes
48,10,Small,4,Yes
11,12,Enterprise,29,Yes
19,10,Small,15,Yes
30,4,Medium,36,Yes
37,0,Medium,30,Yes
48,4,Small,59,No
21,3,Small,41,Yes
40,2,Small,28,No
8,5,Enterprise,55,No
