encounter_id,character_level,class_type,avg_damage_per_round
65,1,Fighter,5.6
118,1,Fighter,6.9
32,1,Rogue,7.7
104,1,Rogue,7.7
107,1,Wizard,6.9
8,2,Fighter,7.9
106,2,Fighter,3.7
5,2,Rogue,11.3
22,2,Rogue,7.2
46,2,Rogue,8.7
53,2,Rogue,10.1
110,2,Wizard,5.8
34,3,Fighter,13.3
35,3,Rogue,13.0
37,3,Rogue,8.6
61,3,Rogue,6.3
79,3,Rogue,7.0
3,3,Wizard,13.3
57,3,Wizard,13.0
76,4,Fighter,12.5
63,4,Rogue,10.7
112,4,Rogue,13.6
4,4,Wizard,12.0
6,5,Fighter,16.0
60,5,Rogue,17.9
67,5,Rogue,11.5
83,5,Rogue,14.3
99,5,Rogue,10.8
117,5,Rogue,16.2
75,5,Wizard,10.8
95,6,Fighter,18.1
40,6,Rogue,9.1
90,6,Rogue,24.5
105,6,Rogue,22.0
9,6,Wizard,15.4
84,6,Wizard,12.9
80,7,Rogue,18.1
111,7,Wizard,12.8
49,8,Fighter,22.2
64,8,Fighter,20.6
30,8,Rogue,21.3
48,8,Rogue,15.3
86,8,Rogue,20.3
26,9,Fighter,23.4
102,9,Fighter,23.1
15,9,Rogue,20.0
1,9,Wizard,19.6
29,9,Wizard,17.9
33,9,Wizard,25.7
39,9,Wizard,22.1
97,9,Wizard,22.5
91,10,Fighter,24.3
116,10,Fighter,28.9
51,10,Wizard,29.9
103,10,Wizard,25.2
2,11,Fighter,27.1
10,11,Fighter,32.2
81,11,Fighter,22.7
89,11,Rogue,23.6
25,11,Wizard,25.4
43,11,Wizard,20.3
72,11,Wizard,21.8
114,11,Wizard,20.7
16,12,Fighter,26.0
17,12,Fighter,28.6
88,12,Fighter,26.3
115,12,Fighter,26.5
28,12,Rogue,28.0
50,12,Rogue,28.4
20,13,Fighter,34.0
27,13,Fighter,37.7
56,13,Fighter,31.6
69,13,Fighter,32.5
101,13,Fighter,28.6
12,13,Rogue,30.2
44,13,Rogue,31.5
52,13,Rogue,27.5
55,13,Rogue,32.3
59,13,Wizard,29.9
96,13,Wizard,21.7
7,14,Fighter,31.7
11,14,Fighter,35.7
42,14,Fighter,34.8
94,14,Fighter,36.6
108,14,Fighter,36.3
74,14,Wizard,39.2
98,14,Wizard,29.1
78,15,Fighter,33.9
47,15,Rogue,35.5
54,15,Rogue,22.4
119,15,Rogue,33.2
38,15,Wizard,27.0
71,16,Fighter,34.1
18,16,Rogue,35.2
87,16,Rogue,34.8
41,17,Fighter,42.6
13,17,Rogue,32.8
31,17,Rogue,37.7
92,17,Rogue,41.5
109,17,Rogue,35.1
24,17,Wizard,34.0
73,17,Wizard,36.4
82,17,Wizard,41.0
58,18,Fighter,40.3
70,18,Fighter,41.2
45,18,Rogue,43.2
66,18,Rogue,37.2
120,18,Rogue,35.6
21,19,Wizard,37.0
68,19,Wizard,40.3
23,20,Fighter,42.3
36,20,Fighter,47.2
93,20,Fighter,42.8
113,20,Fighter,49.1
14,20,Rogue,42.3
62,20,Rogue,39.6
85,20,Rogue,44.4
100,20,Rogue,44.7
19,20,Wizard,42.8
77,20,Wizard,36.1
