account_age_months,upgraded,current_plan
2,0,Free Tier
4,0,Free Tier
6,0,Free Tier
8,0,Free Tier
10,0,Free Tier
12,0,Free Tier
14,0,Free Tier
16,0,Free Tier
18,0,Free Tier
20,1,Free Tier
22,0,Free Tier
24,1,Free Tier
26,0,Free Tier
28,1,Free Tier
30,1,Free Tier
32,1,Free Tier
34,1,Free Tier
36,1,Free Tier
3,0,Free Tier
9,0,Free Tier
15,0,Free Tier
21,0,Free Tier
27,0,Free Tier
33,1,Free Tier
5,0,Free Tier
11,0,Free Tier
17,0,Free Tier
23,0,Free Tier
29,1,Free Tier
35,1,Free Tier
7,0,Free Tier
13,0,Free Tier
19,0,Free Tier
25,0,Free Tier
31,1,Free Tier
1,0,Free Tier
4,0,Free Tier
8,0,Free Tier
12,1,Free Tier
16,1,Free Tier
2,0,Basic Plan
4,0,Basic Plan
6,0,Basic Plan
8,1,Basic Plan
10,0,Basic Plan
12,1,Basic Plan
14,1,Basic Plan
16,1,Basic Plan
18,1,Basic Plan
20,1,Basic Plan
22,1,Basic Plan
24,1,Basic Plan
26,1,Basic Plan
28,1,Basic Plan
30,1,Basic Plan
32,1,Basic Plan
34,1,Basic Plan
36,1,Basic Plan
3,0,Basic Plan
9,0,Basic Plan
15,1,Basic Plan
21,1,Basic Plan
27,1,Basic Plan
33,1,Basic Plan
5,0,Basic Plan
11,0,Basic Plan
17,1,Basic Plan
23,1,Basic Plan
29,1,Basic Plan
35,1,Basic Plan
7,0,Basic Plan
13,1,Basic Plan
19,1,Basic Plan
25,1,Basic Plan
31,1,Basic Plan
1,0,Basic Plan
4,0,Basic Plan
8,0,Basic Plan
12,1,Basic Plan
16,1,Basic Plan
2,0,Pro Plan
4,1,Pro Plan
6,1,Pro Plan
8,1,Pro Plan
10,1,Pro Plan
12,1,Pro Plan
14,1,Pro Plan
16,1,Pro Plan
18,1,Pro Plan
20,1,Pro Plan
22,1,Pro Plan
24,1,Pro Plan
26,1,Pro Plan
28,1,Pro Plan
30,1,Pro Plan
32,1,Pro Plan
34,1,Pro Plan
36,1,Pro Plan
3,0,Pro Plan
9,1,Pro Plan
15,1,Pro Plan
21,1,Pro Plan
27,1,Pro Plan
33,1,Pro Plan
5,0,Pro Plan
11,1,Pro Plan
17,1,Pro Plan
23,1,Pro Plan
29,1,Pro Plan
35,1,Pro Plan
7,1,Pro Plan
13,1,Pro Plan
19,1,Pro Plan
25,1,Pro Plan
31,1,Pro Plan
1,0,Pro Plan
4,0,Pro Plan
8,1,Pro Plan
12,1,Pro Plan
16,1,Pro Plan
