# Title
Loyalty Retention vs Net Promoter Score

# Description
Customer success leads benchmarked 12 strategic accounts. Each row captures quarterly retention (%) for the loyalty program plus the most recent Net Promoter Score.

The CS director wants to see whether improving the member experience (higher NPS) tracks with reduced churn before green-lighting a new loyalty perks budget.

# Alpha
0.05

# Input Mode
paired

# Paired Columns
retention_pct,nps
78,8
80,12
82,15
83,19
85,20
86,23
87,26
88,27
89,30
90,31
91,34
92,36

# Raw Data File
file=scenarios/data/retention_vs_nps.csv
