respondent_id,brand_choice,price_sensitivity,age_band,channel
R0001,Brand C,High,55+,Search
R0002,Brand A,High,25-34,Social
R0003,Brand C,Low,25-34,Email
R0004,Brand C,High,45-54,Search
R0005,Brand D,High,25-34,Email
R0006,Brand C,Medium,55+,Social
R0007,Brand C,Medium,45-54,Search
R0008,Brand A,High,25-34,Email
R0009,Brand D,High,18-24,Search
R0010,Brand B,Low,45-54,Search
R0011,Brand B,Medium,55+,Search
R0012,Brand D,Medium,45-54,Search
R0013,Brand D,Low,45-54,Social
R0014,Brand B,High,35-44,Email
R0015,Brand B,Low,35-44,Search
R0016,Brand B,Medium,35-44,Search
R0017,Brand D,Medium,18-24,Email
R0018,Brand A,Medium,45-54,Email
R0019,Brand A,Medium,18-24,Search
R0020,Brand C,Low,35-44,Search
R0021,Brand C,Low,45-54,Search
R0022,Brand B,High,25-34,Social
R0023,Brand C,High,55+,Email
R0024,Brand A,Medium,25-34,Search
R0025,Brand D,Medium,18-24,Search
R0026,Brand B,Medium,55+,Search
R0027,Brand B,Low,35-44,Social
R0028,Brand C,Low,45-54,Search
R0029,Brand D,High,45-54,Email
R0030,Brand B,Low,25-34,Search
R0031,Brand D,High,25-34,Search
R0032,Brand D,Low,45-54,Email
R0033,Brand A,Medium,45-54,Email
R0034,Brand D,Medium,18-24,Email
R0035,Brand C,High,45-54,Search
R0036,Brand A,High,55+,Search
R0037,Brand A,High,35-44,Search
R0038,Brand A,Medium,35-44,Social
R0039,Brand A,High,18-24,Search
R0040,Brand B,High,18-24,Email
R0041,Brand D,Low,25-34,Social
R0042,Brand A,High,55+,Search
R0043,Brand A,Low,55+,Search
R0044,Brand C,Low,25-34,Email
R0045,Brand C,High,35-44,Email
R0046,Brand D,High,35-44,Social
R0047,Brand C,Medium,25-34,Search
R0048,Brand B,High,35-44,Social
R0049,Brand B,Medium,55+,Search
R0050,Brand B,High,25-34,Email
R0051,Brand A,Low,25-34,Search
R0052,Brand A,Low,45-54,Search
R0053,Brand A,Low,25-34,Search
R0054,Brand D,High,18-24,Email
R0055,Brand A,High,25-34,Search
R0056,Brand D,Medium,35-44,Search
R0057,Brand B,Medium,25-34,Search
R0058,Brand A,Medium,35-44,Email
R0059,Brand B,Low,35-44,Social
R0060,Brand C,Low,35-44,Social
R0061,Brand A,Medium,25-34,Search
R0062,Brand B,Medium,25-34,Email
R0063,Brand D,High,55+,Search
R0064,Brand D,High,35-44,Search
R0065,Brand B,High,25-34,Email
R0066,Brand B,High,25-34,Search
R0067,Brand A,Low,25-34,Email
R0068,Brand D,High,45-54,Search
R0069,Brand B,Medium,55+,Search
R0070,Brand B,Medium,18-24,Social
R0071,Brand D,Medium,45-54,Search
R0072,Brand B,Medium,18-24,Search
R0073,Brand C,Low,25-34,Search
R0074,Brand A,High,25-34,Social
R0075,Brand B,Low,18-24,Social
R0076,Brand B,Medium,35-44,Social
R0077,Brand A,Low,35-44,Email
R0078,Brand D,Medium,18-24,Search
R0079,Brand B,High,35-44,Email
R0080,Brand B,Low,45-54,Social
R0081,Brand B,High,55+,Search
R0082,Brand A,Low,18-24,Search
R0083,Brand D,Medium,18-24,Social
R0084,Brand A,High,35-44,Social
R0085,Brand B,Medium,25-34,Search
R0086,Brand D,High,35-44,Search
R0087,Brand D,High,25-34,Search
R0088,Brand D,Medium,45-54,Search
R0089,Brand A,Low,35-44,Social
R0090,Brand D,Low,55+,Search
R0091,Brand A,High,25-34,Email
R0092,Brand B,Medium,35-44,Search
R0093,Brand B,Medium,18-24,Search
R0094,Brand D,Medium,45-54,Email
R0095,Brand A,High,18-24,Email
R0096,Brand C,Low,35-44,Social
R0097,Brand B,High,18-24,Search
R0098,Brand B,High,25-34,Social
R0099,Brand B,High,45-54,Search
R0100,Brand B,Medium,45-54,Email
R0101,Brand D,Medium,35-44,Social
R0102,Brand B,High,45-54,Search
R0103,Brand B,Low,18-24,Social
R0104,Brand B,High,35-44,Email
R0105,Brand A,Medium,35-44,Search
R0106,Brand D,High,25-34,Social
R0107,Brand B,Low,35-44,Social
R0108,Brand D,High,25-34,Email
R0109,Brand A,Low,35-44,Social
R0110,Brand D,Medium,35-44,Social
R0111,Brand C,Low,45-54,Search
R0112,Brand D,Medium,35-44,Search
R0113,Brand A,Low,18-24,Email
R0114,Brand B,Low,35-44,Social
R0115,Brand C,Medium,18-24,Search
R0116,Brand D,Medium,55+,Search
R0117,Brand A,High,25-34,Social
R0118,Brand A,Medium,45-54,Email
R0119,Brand A,Medium,45-54,Search
R0120,Brand B,Medium,18-24,Social
R0121,Brand A,High,35-44,Social
R0122,Brand A,Medium,55+,Search
R0123,Brand A,Medium,45-54,Social
R0124,Brand A,High,25-34,Search
R0125,Brand D,High,45-54,Search
R0126,Brand A,Medium,45-54,Search
R0127,Brand D,High,45-54,Email
R0128,Brand D,High,18-24,Search
R0129,Brand C,High,25-34,Social
R0130,Brand B,High,18-24,Search
R0131,Brand B,Medium,18-24,Search
R0132,Brand A,High,18-24,Search
R0133,Brand D,High,18-24,Search
R0134,Brand A,Medium,35-44,Search
R0135,Brand A,High,55+,Email
R0136,Brand D,High,35-44,Search
R0137,Brand B,Low,55+,Social
R0138,Brand B,Medium,25-34,Search
R0139,Brand B,Medium,45-54,Search
R0140,Brand C,Low,35-44,Social
R0141,Brand C,High,45-54,Search
R0142,Brand C,Low,45-54,Social
R0143,Brand B,Low,25-34,Email
R0144,Brand D,High,18-24,Social
R0145,Brand A,High,25-34,Social
R0146,Brand B,High,35-44,Social
R0147,Brand D,High,35-44,Email
R0148,Brand C,High,55+,Search
R0149,Brand B,High,18-24,Search
R0150,Brand C,Medium,45-54,Search
R0151,Brand C,Low,45-54,Email
R0152,Brand D,Medium,25-34,Email
R0153,Brand C,Medium,45-54,Email
R0154,Brand C,High,18-24,Email
R0155,Brand C,High,35-44,Search
R0156,Brand B,Medium,18-24,Search
R0157,Brand C,High,55+,Search
R0158,Brand D,High,18-24,Email
R0159,Brand B,High,18-24,Search
R0160,Brand B,Medium,55+,Search
R0161,Brand D,High,55+,Email
R0162,Brand D,High,25-34,Email
R0163,Brand A,Low,25-34,Search
R0164,Brand B,High,55+,Search
R0165,Brand B,High,25-34,Search
R0166,Brand A,Medium,45-54,Social
R0167,Brand B,High,45-54,Search
R0168,Brand D,High,45-54,Search
R0169,Brand B,Low,18-24,Social
R0170,Brand C,Medium,45-54,Social
R0171,Brand C,High,35-44,Search
R0172,Brand B,High,35-44,Social
R0173,Brand D,Low,35-44,Email
R0174,Brand A,High,25-34,Email
R0175,Brand C,Medium,18-24,Search
R0176,Brand A,Low,45-54,Social
R0177,Brand B,Low,18-24,Email
R0178,Brand B,Medium,25-34,Email
R0179,Brand C,Low,55+,Email
R0180,Brand A,Medium,18-24,Search
R0181,Brand C,High,45-54,Search
R0182,Brand D,Medium,55+,Search
R0183,Brand A,High,45-54,Search
R0184,Brand B,Medium,18-24,Search
R0185,Brand B,High,25-34,Email
R0186,Brand A,Low,45-54,Search
R0187,Brand A,Medium,55+,Search
R0188,Brand B,High,25-34,Search
R0189,Brand B,Low,18-24,Search
R0190,Brand B,Medium,35-44,Email
R0191,Brand D,Medium,35-44,Email
R0192,Brand C,Medium,25-34,Search
R0193,Brand A,High,18-24,Email
R0194,Brand B,Medium,18-24,Search
R0195,Brand C,Medium,25-34,Email
R0196,Brand C,High,45-54,Search
R0197,Brand C,Low,45-54,Search
R0198,Brand D,High,55+,Email
R0199,Brand C,Medium,45-54,Search
R0200,Brand C,High,25-34,Social
R0201,Brand C,Low,18-24,Social
R0202,Brand B,High,18-24,Social
R0203,Brand D,High,45-54,Search
R0204,Brand A,High,18-24,Email
R0205,Brand B,Medium,25-34,Search
R0206,Brand B,Medium,35-44,Search
R0207,Brand A,High,35-44,Search
R0208,Brand D,High,35-44,Search
R0209,Brand C,High,25-34,Search
R0210,Brand D,Low,25-34,Email
R0211,Brand D,Medium,25-34,Search
R0212,Brand A,Medium,18-24,Search
R0213,Brand D,Medium,35-44,Search
R0214,Brand B,High,35-44,Email
R0215,Brand A,High,25-34,Email
R0216,Brand A,High,25-34,Search
R0217,Brand D,Low,35-44,Email
R0218,Brand A,Medium,55+,Email
R0219,Brand B,High,25-34,Social
R0220,Brand D,Medium,35-44,Search
R0221,Brand C,Medium,35-44,Search
R0222,Brand D,High,35-44,Search
R0223,Brand B,Low,55+,Email
R0224,Brand A,Medium,45-54,Search
R0225,Brand B,Medium,25-34,Social
R0226,Brand B,Medium,25-34,Email
R0227,Brand C,High,35-44,Email
R0228,Brand B,Medium,55+,Search
R0229,Brand A,High,18-24,Search
R0230,Brand A,Medium,45-54,Social
R0231,Brand C,Medium,35-44,Search
R0232,Brand A,Low,25-34,Email
R0233,Brand D,High,18-24,Search
R0234,Brand B,Low,25-34,Search
R0235,Brand B,High,35-44,Email
R0236,Brand C,High,55+,Search
R0237,Brand B,Medium,45-54,Search
R0238,Brand C,Low,25-34,Email
R0239,Brand D,Medium,35-44,Email
R0240,Brand D,Medium,35-44,Social
R0241,Brand A,Medium,35-44,Email
R0242,Brand C,Low,35-44,Search
R0243,Brand A,Low,35-44,Search
R0244,Brand C,Medium,45-54,Email
R0245,Brand A,High,45-54,Search
R0246,Brand C,Low,18-24,Search
R0247,Brand A,High,25-34,Search
R0248,Brand C,Medium,25-34,Email
R0249,Brand A,Low,55+,Search
R0250,Brand C,Low,25-34,Search
R0251,Brand C,Medium,18-24,Search
R0252,Brand A,Medium,45-54,Social
R0253,Brand A,Low,18-24,Search
R0254,Brand C,High,35-44,Search
R0255,Brand D,High,45-54,Search
R0256,Brand A,Medium,45-54,Search
R0257,Brand C,Medium,25-34,Email
