customer_id,stage,channel,frequency_segment,age_band
C0001,Awareness,Email,Low,35-44
C0002,Awareness,Search,Low,25-34
C0003,Awareness,Email,Low,35-44
C0004,Awareness,Email,Medium,18-24
C0005,Purchase,Search,Medium,25-34
C0006,Purchase,Email,Low,45-54
C0007,Awareness,Social,High,35-44
C0008,Consideration,Search,High,45-54
C0009,Awareness,Email,Low,35-44
C0010,Consideration,Email,Low,35-44
C0011,Consideration,Search,High,35-44
C0012,Awareness,Social,Low,18-24
C0013,Consideration,Email,Low,35-44
C0014,Purchase,Email,Low,18-24
C0015,Purchase,Email,Low,45-54
C0016,Awareness,Email,Medium,45-54
C0017,Purchase,Search,Low,35-44
C0018,Purchase,Email,Low,55+
C0019,Purchase,Email,Low,18-24
C0020,Purchase,Social,Low,45-54
C0021,Awareness,Social,Low,35-44
C0022,Awareness,Social,Low,25-34
C0023,Awareness,Email,Low,55+
C0024,Purchase,Email,Low,55+
C0025,Consideration,Social,Medium,45-54
C0026,Purchase,Email,Low,18-24
C0027,Consideration,Social,Low,45-54
C0028,Purchase,Email,Low,45-54
C0029,Consideration,Email,High,18-24
C0030,Consideration,Email,High,18-24
C0031,Consideration,Search,Low,25-34
C0032,Consideration,Email,Low,35-44
C0033,Consideration,Search,Low,55+
C0034,Awareness,Email,High,18-24
C0035,Purchase,Search,Low,55+
C0036,Awareness,Email,Low,45-54
C0037,Purchase,Email,Low,35-44
C0038,Awareness,Search,Medium,25-34
C0039,Purchase,Email,Low,35-44
C0040,Consideration,Email,Medium,18-24
C0041,Awareness,Email,Low,25-34
C0042,Purchase,Search,Low,45-54
C0043,Purchase,Social,High,35-44
C0044,Awareness,Email,Low,25-34
C0045,Awareness,Social,Low,35-44
C0046,Consideration,Social,High,18-24
C0047,Purchase,Email,Low,25-34
C0048,Awareness,Social,Low,18-24
C0049,Awareness,Email,Low,45-54
C0050,Consideration,Social,High,45-54
C0051,Awareness,Email,Medium,25-34
C0052,Purchase,Social,Low,18-24
C0053,Purchase,Search,Low,18-24
C0054,Awareness,Social,Medium,45-54
C0055,Consideration,Search,Low,35-44
C0056,Purchase,Email,Low,45-54
C0057,Awareness,Social,Low,18-24
C0058,Purchase,Email,Low,45-54
C0059,Awareness,Email,Low,45-54
C0060,Awareness,Email,High,35-44
C0061,Awareness,Email,Low,18-24
C0062,Consideration,Social,High,25-34
C0063,Purchase,Social,Low,25-34
C0064,Awareness,Search,High,25-34
C0065,Awareness,Email,Low,55+
C0066,Purchase,Email,High,45-54
C0067,Purchase,Email,Medium,35-44
C0068,Consideration,Email,Low,18-24
C0069,Purchase,Social,Low,45-54
C0070,Consideration,Email,Medium,25-34
C0071,Awareness,Social,Low,55+
C0072,Consideration,Email,Medium,25-34
C0073,Purchase,Search,Medium,55+
C0074,Awareness,Social,Low,18-24
C0075,Consideration,Social,Medium,25-34
C0076,Consideration,Social,Low,55+
C0077,Purchase,Email,Medium,55+
C0078,Awareness,Social,Low,45-54
C0079,Consideration,Social,Medium,35-44
C0080,Consideration,Social,Low,35-44
C0081,Consideration,Email,Medium,55+
C0082,Purchase,Email,Medium,35-44
C0083,Consideration,Email,High,45-54
