id,segment,score
S0001,Medium,-0.083
S0002,Medium,0.511
S0003,High,2.723
S0004,Low,-0.633
S0005,Medium,0.184
S0006,Low,-1.467
S0007,High,0.184
S0008,Low,-2.162
S0009,Medium,0.223
S0010,High,-0.125
S0011,Low,-2.622
S0012,High,0.172
S0013,Medium,-0.638
S0014,Low,-3.103
S0015,High,-0.018
S0016,High,1.616
S0017,Medium,0.864
S0018,High,2.095
S0019,Medium,1.564
S0020,Low,-0.719
S0021,Low,-0.849
S0022,High,-0.359
S0023,Low,0.217
S0024,Low,-1.116
S0025,Medium,1.272
S0026,Medium,1.845
S0027,High,0.631
S0028,Low,-0.067
S0029,High,1.073
S0030,Medium,0.658
S0031,High,1.892
S0032,Low,-2.302
S0033,Low,-0.861
S0034,Low,0.104
S0035,High,-0.257
S0036,Medium,1.048
S0037,Medium,-0.48
S0038,Medium,0.093
S0039,Low,-1.121
S0040,Low,-0.539
S0041,Low,-0.927
S0042,High,1.197
S0043,High,1.069
S0044,Low,-0.868
S0045,High,1.191
S0046,Medium,0.875
S0047,Low,-0.554
S0048,High,1.226
S0049,Low,-2.166
S0050,Medium,1.143
S0051,Medium,-0.352
S0052,High,1.343
S0053,Low,-1.039
S0054,Low,-1.979
S0055,High,0.542
S0056,High,-0.78
S0057,Low,-0.528
S0058,Medium,-1.034
S0059,Low,-1.6
S0060,High,1.085
S0061,Low,0.301
S0062,Low,-0.767
S0063,Low,0.47
S0064,High,0.326
S0065,Medium,0.941
S0066,High,0.998
S0067,Low,-0.436
S0068,Low,-0.424
S0069,Low,-1.176
S0070,Medium,1.328
S0071,Low,-0.145
S0072,High,1.203
S0073,Medium,-0.531
S0074,Low,-0.369
S0075,Medium,0.758
S0076,Low,-0.599
S0077,Low,-0.847
S0078,High,1.314
S0079,Low,0.46
S0080,High,1.333
S0081,High,0.914
S0082,Medium,0.22
S0083,High,1.071
S0084,Low,-0.48
S0085,Medium,-0.496
S0086,Low,-0.853
S0087,Low,-2.149
S0088,Low,0.28
S0089,High,0.82
S0090,Low,-0.651
S0091,Medium,-0.065
S0092,Medium,-0.109
S0093,High,2.339
S0094,Low,-0.694
S0095,Medium,0.007
S0096,Low,-1.879
S0097,Medium,0.043
S0098,Low,-0.889
S0099,Medium,0.217
S0100,High,0.639
S0101,Medium,0.442
S0102,Low,0.496
S0103,Medium,1.88
S0104,High,0.019
S0105,Low,-1.763
S0106,Medium,0.713
S0107,Low,-1.834
S0108,Low,-1.29
S0109,Medium,1.572
S0110,Medium,-0.363
S0111,High,0.848
S0112,Low,0.582
S0113,Medium,1.569
S0114,Medium,-0.808
S0115,Medium,-0.511
S0116,Low,-0.066
S0117,High,1.97
S0118,Low,1.251
S0119,High,1.517
S0120,Medium,1.179
S0121,Low,-2.635
S0122,Low,0.828
S0123,Low,-0.838
S0124,High,1.115
S0125,Medium,-0.084
S0126,Low,1.033
S0127,Medium,0.342
S0128,Low,0.762
S0129,Low,0.917
S0130,Low,-0.951
S0131,High,0.535
S0132,Low,-1.818
S0133,Medium,-1.393
S0134,Low,-0.576
S0135,Low,0.849
S0136,Low,-0.636
S0137,Medium,-0.49
S0138,Low,-0.37
S0139,Low,0.686
S0140,High,-0.35
S0141,Medium,-0.48
S0142,Low,-1.716
S0143,Medium,-1.196
S0144,Medium,2.264
S0145,Low,0.72
S0146,Low,-0.421
S0147,Low,-0.535
S0148,Medium,0.861
S0149,High,3.165
S0150,High,0.874
S0151,High,0.863
S0152,Low,-0.728
S0153,Medium,-0.202
S0154,Low,-0.411
S0155,Medium,0.277
S0156,Low,0.517
S0157,Low,-1.197
S0158,Low,-0.279
S0159,Medium,1.305
S0160,High,0.505
S0161,High,1.756
S0162,Low,-0.599
S0163,High,0.081
S0164,High,1.976
S0165,Medium,0.486
S0166,High,0.237
S0167,Medium,-0.668
S0168,Medium,0.317
S0169,Medium,-0.821
S0170,Low,-1.414
S0171,High,0.788
S0172,Medium,0.72
S0173,Low,0.1
S0174,Low,-0.532
S0175,Low,-1.051
S0176,Low,0.246
S0177,Low,-1.243
S0178,Medium,-0.498
S0179,Medium,-0.239
S0180,Low,-0.973
S0181,High,0.801
S0182,Low,0.342
S0183,Low,0.739
S0184,Low,-1.224
S0185,High,0.5
S0186,Low,-0.746
S0187,Low,-0.897
S0188,Low,-0.543
S0189,High,0.838
